species,fire_response,page,post_fire_recovery,conservation_code,primary_juvenile_period
Acacia acuminata,OSS,145,medium to slow,NA,NA
Acacia acuminata,OSS,177,medium,NA,NA
Acacia aemula ssp. aemula,OSS,195,NA,P4,NA
Acacia aemula ssp. muricata,OSS,178,medium,NA,NA
Acacia amyctica,NA,195,NA,P2,NA
Acacia ancistrophylla var.. perarcuata,NA,195,NA,P3,NA
Acacia arcuatilis,NA,195,NA,P2,NA
Acacia argutifolia,NA,156,NA,NA,NA
Acacia argutifolia,OSS,195,NA,P4,>36
Acacia asepala,NA,195,NA,P2,NA
Acacia ataxiphylla ssp. ataxiphylla,NA,195,NA,P3,NA
Acacia awestoniana,OSS,195,NA,R,48
Acacia bidentata,NA,145,NA,NA,NA
Acacia bifaria,NA,195,NA,P3,NA
Acacia brachyphylla var.. recurvata,NA,195,NA,P3,NA
Acacia browniana,OSS,149,rapid,NA,NA
Acacia carnosula,NA,188,NA,NA,NA
Acacia chrysocephala,OSS,178,medium,NA,NA
Acacia conniana,OSS,193,NA,NA,NA
Acacia cyclops,OSS,161,NA,NA,NA
Acacia cyclops,OSS,193,rapid,NA,NA
Acacia declinata,NA,195,NA,P3,NA
Acacia depressa,NA,195,NA,R,NA
Acacia diaphana,NA,195,NA,P1,NA
Acacia dictyoneura,OSS,195,NA,P4,NA
Acacia diminuta,NA,195,NA,P1,NA
Acacia dissona var.. indoloria,NA,195,NA,P3,NA
Acacia disticha,OSS?,195,NA,P3,NA
Acacia drewiana spp minor,OSS,178,NA,NA,NA
Acacia drummondii ssp. elegans Porongurup variant (R.J. Cumming 938),OSS,195,NA,P4,NA
Acacia durabilis,OSS,170,NA,P3,>36
Acacia duriuscula,NA,177,NA,NA,NA
Acacia empelioclada,NA,195,NA,P4,NA
Acacia erinacea,NA,145,NA,NA,NA
Acacia errabunda,?OSS,195,NA,P3,NA
Acacia euthyphylla,NA,195,NA,P3,NA
Acacia fragilis,NA,145,NA,NA,NA
Acacia glaucissima,NA,145,NA,P3,NA
Acacia glaucoptera,OSS,164,rapid,NA,NA
Acacia glaucoptera,OSS,188,NA,NA,NA
Acacia gonophylla,OSS,178,medium,NA,NA
Acacia gonophylla,OSS,188,NA,NA,NA
Acacia grisea,NA,195,NA,P4,NA
Acacia heterochroa,OSS?,170,NA,NA,NA
Acacia heterochroa ssp. robertii,NA,195,NA,P2,NA
Acacia heteroclita spp heteroclita,OSS,193,NA,NA,NA
Acacia heteroclita ssp. valida,OSS,144,NA,P2,NA
Acacia hystrix ssp. continua,NA,196,NA,P1,NA
Acacia imparilis,OSS,196,NA,P2,36±
Acacia improcera,NA,196,NA,P3,NA
Acacia incanicarpa,RS,196,NA,P2,NA
Acacia incongesta,NA,176,NA,NA,NA
Acacia laricina var.. crassifolia,OSS,196,NA,P3,NA
Acacia lasiocalyx,OSS?,177,NA,NA,NA
Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),OSS?,196,NA,P2,NA
Acacia littorea,OSS,161,NA,NA,NA
Acacia microneura,NA,196,NA,P1,NA
Acacia moirii ssp. dasycarpa,OSS?,196,NA,P4,NA
Acacia mutabilis ssp angustifolia,OSS,188,NA,NA,NA
Acacia mutabilis ssp. incurva,OSS,196,NA,P2,NA
Acacia mutabilis ssp. mutabilis,OSS,188,NA,NA,NA
Acacia mutabilis ssp. rhynchophylla,NA,196,NA,P3,NA
Acacia myrtifolia,OSS,142,NA,NA,NA
Acacia myrtifolia,OSS,152,rapid,NA,NA
Acacia newbeyi,NA,196,NA,P3,NA
Acacia nitidula,NA,196,NA,P2,NA
Acacia ophiolithica,OSS,172,NA,NA,NA
Acacia oswaldii,NA,188,NA,NA,NA
Acacia papulosa,NA,196,NA,P2,NA
Acacia pentadenia,OSS,149,medium to slow,NA,NA
Acacia phlebopetala var.. pubescens,NA,196,NA,P2,NA
Acacia pinguiculosa,OSS,172,NA,NA,NA
Acacia pinguiculosa ssp. pinguiculosa,OSS?,196,NA,P4,NA
Acacia pinguiculosa ssp. teretifolia,OSS,145,NA,NA,NA
Acacia prismifolia,NA,196,NA,X,NA
Acacia resinomarginea,NA,180,NA,NA,NA
Acacia rhamphophylla,OSS,196,NA,R,NA
Acacia rostellata,OSS,178,medium,NA,NA
Acacia rostellifera,OSS,193,rapid to medium,NA,NA
Acacia shuttleworthii,OSS,178,NA,NA,NA
Acacia simulans,OSS,196,NA,P4,≤48
Acacia singula,NA,196,NA,P3,NA
Acacia sp. Esperance (M.A. Burgman 1833b),NA,196,NA,P1,NA
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),NA,196,NA,P1,NA
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),NA,196,NA,P1,NA
Acacia spp,NA,147,NA,NA,NA
Acacia stereophylla,NA,180,NA,NA,NA
Acacia subtiliformis,NA,196,NA,P3,NA
Acacia sulcata ssp. sulcata,OSS,140,NA,NA,NA
Acacia truculenta,NA,196,NA,P3,NA
Acacia trulliformis,OSS,196,NA,R,NA
Acacia tryptycha,NA,145,NA,NA,NA
Acacia undosa,NA,196,NA,P3,NA
Acacia unifillis,OSS,178,NA,NA,NA
Acacia veronica,OSS,196,NA,P3,NA
Acidonia microcarpa,OSS,152,medium,NA,NA
Acrotriche cordata,NA,161,NA,NA,NA
Acrotriche dura,NA,196,NA,P2,NA
Acrotriche parviflora,NA,196,NA,P4,NA
Actinotus rhomboideus,OSS,196,NA,P4,≤24
Actinotus sp Walpole,OSS,196,NA,P3,NA
Adeanthos cuneatus,RS,188,NA,NA,NA
Adenanthos cacomorphus,RS,196,NA,P2,NA
Adenanthos cuneatus,RS,185,NA,NA,NA
Adenanthos cygnorum,OSS,147,NA,NA,NA
Adenanthos dobagii,OSS,196,NA,R,48
Adenanthos dobsonii,NA,188,NA,NA,NA
Adenanthos ellipticus,OSS,156,medium,R,48
Adenanthos ellipticus x cuneatus,OSS,156,NA,NA,NA
Adenanthos eyri,OSS,188,NA,NA,NA
Adenanthos filifolius,OSS,155,NA,P3,48 to 60
Adenanthos forrestii,RS,188,NA,NA,NA
Adenanthos gracilipes,NA,196,NA,P3,NA
Adenanthos ileticos,NA,191,NA,P4,NA
Adenanthos labillardierei,OSS,196,NA,P4,NA
Adenanthos labilliardierei,OSS,157,NA,NA,NA
Adenanthos linearis,OSS?,196,NA,P2,48±
Adenanthos obovatus,RS,152,NA,NA,NA
Adenanthos oreophilus,OSS,157,NA,NA,NA
Adenanthos pungens,OSS,158,NA,NA,NA
Adenanthos pungens ssp. effusus,NA,196,NA,R,NA
Adenanthos pungens ssp. pungens,OSS,196,NA,R,NA
Adenanthos sericeous,OSS,161,NA,NA,NA
Adenanthos velutinus,NA,196,NA,R,NA
Adenanthos venosus,RS,157,NA,NA,NA
Adenanthos x cunninghamii,OSS,196,NA,P4,NA
Agonis baxteri,RS,142,NA,NA,NA
Agonis baxteri (obtusissima),RS,157,NA,NA,NA
Agonis flexuosa,OSC,161,NA,NA,NA
Agonis flexuosa,OSC/RS,141,NA,NA,NA
Agonis flexuosa,RS ep/ OSC,154,NA,NA,NA
Agonis flexuosa,RS/OSC,141,NA,NA,NA
Agonis undulata,NA,196,NA,P3,NA
Agrostocrinum scabrum ssp. littorale,NA,196,NA,P2,NA
Alexgeorgea ganopoda,RS/OSS,196,NA,P3,24
Allocasuarina acuaria,NA,147,NA,NA,NA
Allocasuarina acutivalvis,OSC,177,medium to slow,NA,NA
Allocasuarina acutivalvis,OSC,180,NA,NA,NA
Allocasuarina acutivalvis ssp. acutivalvis,OSC,172,NA,NA,NA
Allocasuarina campestris,?OSC,142,NA,NA,NA
Allocasuarina campestris,OSC,145,NA,NA,NA
Allocasuarina corniculata,NA,180,NA,NA,NA
Allocasuarina decussata,RS ep,149,NA,NA,NA
Allocasuarina decussata,RS/ ep,149,NA,NA,NA
Allocasuarina fraseriana,RS ep,150,NA,NA,NA
Allocasuarina globosa,NA,177,NA,NA,NA
Allocasuarina helmsii,NA,177,NA,NA,NA
Allocasuarina huegeliana,OSC,145,slow,NA,NA
Allocasuarina huegeliana,OSC,172,medium to slow,NA,NA
Allocasuarina huegeliana,OSC,191,NA,NA,NA
Allocasuarina hystericosa,RS,172,NA,NA,NA
Allocasuarina hystricosa,RS,197,NA,P3,NA
Allocasuarina lehmanniana,OSC,147,NA,NA,NA
Allocasuarina microstachys,RS,165,NA,NA,NA
Allocasuarina preissii,NA,188,NA,NA,NA
Allocasuarina sclerocalda,RS,185,NA,NA,NA
Allocasuarina scleroclada,RS,145,NA,NA,NA
Allocasuarina spinosissima,?,191,NA,NA,NA
Allocasuarina spinosissima,OSC ?,172,NA,NA,NA
Allocasuarina trichodon,OSC,141,NA,NA,NA
Allocasuarina trichodon,OSC,164,slow,NA,NA
Alogyne hakeifolia,OSS,193,rapid,NA,NA
Alyxia buxifolia,NA,193,NA,NA,NA
Amanita carneiphylla,NA,197,NA,P2,NA
Amperea protensa,RS,197,NA,P3,NA
Anarthria laevis,RS,163,NA,NA,NA
Andersonia amabile,OSS,197,NA,P3,24
Andersonia auriculata,OSS,197,NA,P3,36
Andersonia axilliflora,OSS,155,slow,R,14
Andersonia carinata,OSS,197,NA,P3,NA
Andersonia depressa,OSS,197,NA,P3,NA
Andersonia echinocephala,OSS,197,NA,P3,>48
Andersonia grandiflora,OSS,197,NA,P3,NA
Andersonia hammersleyana,OSS,197,NA,P2,36 to 48
Andersonia hammerslyeana,OSS,143,medium,NA,NA
Andersonia jamesii,OSS,197,NA,P1,24
Andersonia jamesii,OSS,197,NA,P1,36
Andersonia lazulina,OSS,197,NA,P3,24
Andersonia pinaster,OSS,151,medium,R,36
Andersonia redolens,OSS,197,NA,P1,36 to 48
Andersonia setifolia,OSS,140,NA,P3,NA
Andersonia sprengelioides,OSS,140,rapid,NA,NA
Andersonia virolens,OSS,143,rapid,P2,24 to 36
Angasomyrtus salina,NA,197,NA,P2,NA
Anigozanthos bicolor ssp. minor,OSS,197,NA,R,12 to 24
Anigozanthos gabrielae,Annual,142,rapid,NA,NA
Anthocercis fasciculata,OSS,197,NA,P4,≤24
Anthocercis genistoides,OSS,176,rapid,NA,NA
Anthocercis littorea,NA,193,NA,NA,NA
Anthocercis sylvicola,RS,197,NA,P2,NA
Anthocercis viscosa,RS,140,NA,NA,NA
Anthocercis viscosa ssp. caudata,NA,193,NA,NA,NA
Anthocercis viscosa ssp. caudata,?OSS,142,NA,NA,NA
Aotus franklandii,?,197,NA,P2,NA
Aotus genistoides,OSS,155,NA,NA,NA
Aotus intermedia,OSS,152,NA,NA,NA
Aotus lanea,NA,197,NA,P1,NA
Aotus prosacris,NA,197,NA,P1,NA
Apium prostratum ssp. phillipi,OSS,150,rapid,NA,NA
Apium prostratum ssp. phillipii,OSS,197,NA,R,12
Apodasmia ceramophila,RS,197,NA,P2,NA
Asplenium aethiopicum,FERN,197,NA,P4,NA
Asplenium aethiopicum,Fern,140,NA,NA,NA
Asplenium obtusatum ssp. northlandicum,FERN,197,NA,R,NA
Astartea arbuscula,OSS,197,NA,P4,36 to 48
Astartea fascicularis,RS,193,NA,NA,NA
Astartea scoparia,RS,152,NA,NA,NA
Astartea sp. Esperance (A. Fairall 2431),NA,197,NA,P1,NA
Astartea sp. Fitzgerald (K.R. Newbey 10844),NA,197,NA,P2,NA
Astartea sp. Hopetoun area (A.S. George 10594),OSS,197,NA,P3,NA
Astartea sp. Jerdacuttup (A. Strid 21898),NA,197,NA,P1,NA
Astartea sp. Jyndabinbin Rocks (K.R. Newbey 7689),NA,197,NA,P2,NA
Astartea sp. Mt Johnston (A.R. Annels 5645),OSS,197,NA,P3,36 to 48
Astartea sp. staminodes,OSS?,156,NA,NA,NA
Astartea sp.Fitzgerald(K.R.Newbey 10844),NA,197,NA,P2,NA
Asteridea archeri,OSS,197,NA,P2,NA
Asteridea gracilis,NA,197,NA,P3,NA
Asterolasia sp. Kalgan,OSS,144,NA,NA,NA
Asterolasia sp. Kalgan River (S. Barrett 1522),OSS,197,NA,P1,NA
Astroloma microphyllum,NA,197,NA,P3,NA
Astroloma recurvum,NA,197,NA,P3,NA
Astroloma sp. Grass Patch (A.J.G. Wilson 110),NA,197,NA,P2,NA
Astroloma sp.Nannup(R.D.Royce 3978),NA,197,NA,P4,NA
Astus duomilius,NA,197,NA,P1,NA
Astus wittweri,NA,197,NA,P2,NA
Atriplex muelleri,NA,197,NA,P1,NA
Atriplex spp,NA,174,NA,NA,NA
Austrodanthonia occidentalis,RS,154,NA,NA,NA
Austrofestuca littoralis,RS?,197,NA,P1,NA
Austrostipa flavescens,OSS,154,rapid,NA,NA
Baeckea crassifolia subsp.. icosandra,NA,145,NA,NA,NA
Baeckea crispiflora ssp. Ongerup (A. Scougall & C.,NA,198,NA,NA,NA
Baeckea sp. Exclamation Lake (M.E. Trudgen 1524),NA,198,NA,P1,NA
Baeckea sp. Gibson (K.R. Newbey 11084),NA,198,NA,P1,NA
Baeckea sp. Hatter Hill (K.R. Newbey 3284),NA,198,NA,P3,NA
Baeckea sp. Merredin (K.R. Newbey 2506),NA,198,NA,P3,NA
Baeckea sp. Mt Gibbs (G.F. Craig 7031),NA,198,NA,P2,NA
Baeckea sp. Mt Glasse (P.G. Wilson 5717),NA,198,NA,P2,NA
Baeckea sp. Youndegin Hill (A.S. George 15772),NA,198,NA,P1,NA
Bankisa plumosa ssp. denticulata,OSC,156,medium,NA,NA
Banksa cirsioides,OSC,178,medium to slow,NA,NA
Banksia aculeata,OSC,158,slow,P2,96±
Banksia acuminata,RS,147,NA,P4,NA
Banksia alliacea,OSC,148,NA,NA,NA
Banksia alliaceae,OSC,185,NA,NA,NA
Banksia anatona,OSC,198,NA,R,72
Banksia arctotidis,RS,147,NA,NA,NA
Banksia arctotidis,RS?,158,medium,NA,NA
Banksia armata,RS,148,NA,NA,NA
Banksia armata subsp.. ignicida,OSS,145,NA,NA,NA
Banksia armata var. ignicida,OSC,142,NA,NA,NA
Banksia attenuata,RS,148,NA,NA,NA
Banksia attenuata,RS / OSC,151,NA,NA,NA
Banksia attenuata,RS ep/ OSC,167,NA,NA,NA
Banksia attenuata,RS/OSC,165,NA,NA,NA
Banksia baueri,OSC,157,slow,NA,NA
Banksia baxteri,OSC,158,medium to slow,NA,NA
Banksia baxteri,OSC,165,slow,NA,NA
Banksia biterax,OSC,151,medium,NA,NA
Banksia biterax,OSC,155,NA,NA,NA
Banksia blechnifolia,RS,159,NA,NA,NA
Banksia brownii,OSC,151,medium to slow,NA,NA
Banksia brownii,OSC,155,slow,NA,NA
Banksia brownii Coastal,OSC,198,NA,R,72
Banksia brownii Stirling Range,OSC,198,NA,R,>120
Banksia brunnea,OSC,148,medium,NA,NA
Banksia calophylla,RS,198,NA,P3,NA
Banksia calyei,OSC,178,slow,NA,NA
Banksia cirsiodes,OSC,172,medium to slow,NA,NA
Banksia cirsioides,OSC,170,medium to slow,NA,NA
Banksia cirsioides,OSC,183,medium,NA,NA
Banksia coccinea,OSC,151,medium to slow,NA,NA
Banksia concinna,OSC,155,slow,P4,>84
Banksia corvijuga,OSC,170,NA,P1,>36
Banksia densa var.. parva,OSC,198,NA,P2,48 to 60
Banksia drummondii,OSC,165,medium,NA,NA
Banksia dryandoides,OSC,165,medium,NA,NA
Banksia dryandroides,OSC,141,NA,NA,NA
Banksia dyandroides,OSC,163,NA,NA,NA
Banksia elderiana,RS,181,NA,NA,NA
Banksia epica,OSC,188,NA,NA,NA
Banksia erythrocaephala,RS,172,NA,NA,NA
Banksia erythrocephala,RS,178,NA,NA,NA
Banksia falcata,OSC,165,medium to slow,NA,NA
Banksia foliolata,OSC,155,NA,P4,60±
Banksia foliosissima,OSC,170,NA,P2,>36
Banksia formosa,OSC,140,medium,NA,NA
Banksia fraseri,RS,148,NA,NA,NA
Banksia goodii,RS,198,NA,R,NA
Banksia grandis,RS,149,NA,NA,NA
Banksia heliantha,OSC,157,NA,NA,NA
Banksia hirta,OSC,156,medium,P3,NA
Banksia ionthocarpa ssp. ionthocarpa,OSC,164,slow,R,>60
Banksia laevigata ssp. laevigata,OSC,164,slow,P4,NA
Banksia laevigata ssp. laevigata,OSC,170,NA,P4,NA
Banksia laevigata subsp. fuscolutea,OSC,181,medium to slow,NA,NA
Banksia lemanniana,OSC,157,slow,NA,NA
Banksia lemanniana,OSC,165,medium to slow,NA,NA
Banksia lemmaniana,OSC,160,slow,NA,NA
Banksia lepidorhiza,RS,198,NA,P1,NA
Banksia lepidorrhiza,RS,148,NA,NA,NA
Banksia littoralis,RS,153,NA,NA,NA
Banksia littoralis,RS ep,147,NA,NA,NA
Banksia lullfitzii,RS,180,NA,P3,NA
Banksia media,OSC,157,NA,NA,NA
Banksia media,OSC,165,medium to slow,NA,NA
Banksia media,OSC,181,slow,NA,NA
Banksia meganotia,RS,198,NA,P3,NA
Banksia meisnerii,OSC,148,medium,NA,NA
Banksia montana,OSC,155,slow,R,>120
Banksia mucronulata,OSC,151,medium,NA,NA
Banksia mucronulata,OSC,166,medium to slow,NA,NA
Banksia mucronulata sp. retrorsa,OSC,148,NA,NA,NA
Banksia mucronulata ssp. mucronulata,OSC,167,medium to slow,NA,NA
Banksia mucronulata ssp. retrorsa,OSC,198,NA,R,NA
Banksia nivea,OSC,185,NA,NA,NA
Banksia nivea ssp. nivea,OSC,148,NA,NA,NA
Banksia nivea ssp. nivea,OSC,179,medium,NA,NA
Banksia nutans,OSC,151,slow,NA,NA
Banksia nutans ssp. nutans,OSC,167,slow,NA,NA
Banksia obovata,OSC,151,medium,NA,NA
Banksia obovata,OSC,167,medium to slow,NA,NA
Banksia obtusa,OSC,183,NA,NA,NA
Banksia occidentalis,OSC,153,medium,NA,NA
Banksia oreophila,OSC,155,slow,NA,NA
Banksia oreophila,OSC,156,NA,NA,NA
Banksia oreophila,OSC,159,medium to slow,NA,NA
Banksia pallida,OSC,170,slow,NA,NA
Banksia pellaeifolia,RS,148,NA,NA,NA
Banksia petiolaris,OSC,185,medium,NA,NA
Banksia pilostylis,OSC,179,medium to slow,NA,NA
Banksia plumosa ssp. denticulata,OSC,159,medium,P2,≥48
Banksia plumosa ssp. plumosa,OSC,157,NA,NA,NA
Banksia plumosa ssp. plumosa,OSC,166,medium to slow,NA,NA
Banksia porrecta,?RS,148,NA,NA,NA
Banksia porrecta,RS/OSC,198,NA,P4,36
Banksia praemorsa,OSC,161,medium,NA,NA
Banksia prolata ssp. archeos,OSC,157,NA,P2,NA
Banksia prolata ssp. calcicola,OSC,198,NA,P1,NA
Banksia prolata ssp. prolata,OSC,185,NA,P3,NA
Banksia pseudoplumosa,OSC,198,NA,R,60 to 72
Banksia pteridifolia,RS,179,NA,NA,NA
Banksia pulchella,OSC,183,slow,NA,NA
Banksia purdieana,?OSC,181,NA,NA,NA
Banksia quercifolia,OSC,153,medium,NA,NA
Banksia repens,RS,185,NA,NA,NA
Banksia rufa ssp. chelomacarpa,RS,198,NA,P3,NA
Banksia rufa ssp. chemelocarpa,RS,179,NA,NA,NA
Banksia rufa ssp. flavescens,RS,198,NA,P3,NA
Banksia rufa ssp. pumila,OSC,198,NA,P2,60±
Banksia rufa ssp. pumilo,OSC,155,medium,NA,NA
Banksia seminuda,OSC,149,medium to slow,NA,NA
Banksia seneciifolia,OSC,198,NA,P3,>36
Banksia serra,OSC,151,medium,P4,36
Banksia sessilis,OSC,148,medium,NA,NA
Banksia sessilis var. cordata,OSC,198,NA,P4,NA
Banksia solandri,OSC,155,slow,P4,>84
Banksia speciosa,OSC,183,medium to slow,NA,NA
Banksia sphaerocarpa ssp. sphaerocarpa,RS,148,NA,NA,NA
Banksia sphaerocarpa var. dolichostyla,RS,198,NA,R,NA
Banksia sphaerocarpa var.. latifolia,RS,198,NA,P2,NA
Banksia squarrosa,OSC,151,medium,NA,NA
Banksia subpinnatifida var.. imberbis,OSC,198,NA,P2,NA
Banksia tenuifolia ssp tenuifolia,RS,166,NA,NA,NA
Banksia tenuis,OSC,148,NA,NA,NA
Banksia verticillata,OSC,140,slow,R,>120
Banksia violacea,OSC,165,medium to slow,NA,NA
Banksia violacea,OSC,179,slow,NA,NA
Banksia violacea,OSC,183,NA,NA,NA
Banksia violaceae,OSC,141,NA,NA,NA
Banksia violaceae,OSC,166,medium to slow,NA,NA
Banksia viscida,OSC,198,NA,P3,NA
Banksia xylothemelia,RS,179,NA,P3,NA
Banksia`grandis,RS,155,NA,NA,NA
Banskia calophylla,RS/OSC,159,NA,NA,NA
Baumea articulata,NA,154,NA,NA,NA
Baumea spp,NA,150,NA,NA,NA
Beaufortia aff schaueri,NA,157,NA,NA,NA
Beaufortia anisandra,OSC,155,slow,NA,NA
Beaufortia anisandra,OSC,159,medium to slow,NA,NA
Beaufortia cyrodonta,OSC,159,medium,NA,NA
Beaufortia empetrifolia,OSC,165,medium,NA,NA
Beaufortia micrantha,OSC,183,medium to slow,NA,NA
Beaufortia micrantha var. micrantha,OSC,181,medium to slow,NA,NA
Beaufortia micrantha var.. micrantha,OSC,179,medium to slow,NA,NA
Beaufortia orbifolia,OSC,169,NA,NA,NA
Beaufortia schaueri,OSC,145,NA,NA,NA
Beaufortia schaueri,OSC,166,medium,NA,NA
Beaufortia schaueri,OSC,170,medium to slow,NA,NA
Beaufortia sparsa,RS,152,NA,NA,NA
Bentleya diminuta,RS?,199,NA,P2,NA
Bentleya spinescens,NA,199,NA,P4,NA
Beyeria cockertonii,OSS,172,NA,R,NA
Beyeria sp. Ravensthorpe,OSS,169,NA,NA,NA
Beyeria villosa,OSS,199,NA,P4,NA
Billardiera drummondii,OSS,199,NA,P4,NA
Bnaksia grandis,RS,148,NA,NA,NA
Boronia acanthoclada,NA,199,NA,P2,NA
Boronia anceps,NA,199,NA,P3,NA
Boronia baeckeacea ssp. patula,NA,199,NA,P1,NA
Boronia baeckeacea subsp.. patula,NA,145,NA,NA,NA
Boronia clavata,OSS,199,NA,R,NA
Boronia coriacea,NA,199,NA,P2,NA
Boronia corynophylla,NA,199,NA,P2,NA
Boronia crassipes,OSS?,199,NA,P3,NA
Boronia crenulata var.. angustifolia,NA,199,NA,P4,NA
Boronia oxyantha var.. brevicalyx,OSS,199,NA,P3,NA
Boronia penicillata,NA,199,NA,P3,NA
Boronia revoluta,OSS?,199,NA,R,NA
Boronia scabra ssp. attenuata,NA,199,NA,P3,NA
Boronia sp..,NA,145,NA,NA,NA
Boronia virgata,OSS,199,NA,P3,24
Borya constricta,NA,146,NA,NA,NA
Borya longioscapa,RS/OSS,143,NA,NA,NA
Borya longiscapa,RS,199,NA,P2,NA
Borya sp..,NA,146,NA,NA,NA
Borya spp,NA,178,NA,NA,NA
Bossiaea atrata,NA,199,NA,P3,NA
Bossiaea concinna,NA,199,NA,P3,NA
Bossiaea dentata,OSS,142,NA,NA,NA
Bossiaea disticha,NA,199,NA,P3,NA
Bossiaea divaricata,NA,199,NA,P4,NA
Bossiaea flexuosa,NA,199,NA,P3,NA
Bossiaea linophylla,OSS,152,rapid,NA,NA
Bossiaea oxyclada,NA,199,NA,P2,NA
Bossiaea simulata,NA,199,NA,P1,NA
Bossiaea sp. Frankland (E.M. Sandiford EMS 896),NA,199,NA,P1,NA
Bossiaea spinosa,NA,199,NA,P3,NA
Bossiaea walkeri,NA,188,NA,NA,NA
Brachyloma mogin,NA,199,NA,P3,NA
Brachyloma nguba,NA,199,NA,P1,NA
Caesia viscida,GEO,199,NA,P2,NA
Caladenia abbreviata,GEO,199,NA,P2,NA
Caladenia arrecta,GEO,199,NA,P4,NA
Caladenia bryceana ssp. bryceana,GEO,199,NA,R,NA
Caladenia christineae,GEO,199,NA,R,NA
Caladenia cristata,GEO,199,NA,P4,NA
Caladenia discoidea,NA,146,NA,NA,NA
Caladenia dorrienii,GEO,199,NA,R,NA
Caladenia erythrochila,GEO,199,NA,P2,NA
Caladenia evanescens,GEO,199,NA,P1,NA
Caladenia exstans,GEO,199,NA,P4,NA
Caladenia harringtoniae,GEO,199,NA,R,NA
Caladenia integra,GEO,199,NA,P4,NA
Caladenia interjacens,GEO,199,NA,P4,NA
Caladenia longifimbriata,GEO,199,NA,P1,NA
Caladenia luteola,GEO,199,NA,P2,NA
Caladenia plicata,GEO,199,NA,P4,NA
Caladenia startiorum,GEO,199,NA,P2,NA
Caladenia voigtii,GEO,199,NA,P4,NA
Caladenia x triangularis,GEO,200,NA,P4,NA
Calectasia cyanea,OSS,200,NA,R,84
Calectasia keigheryi,RS,200,NA,P2,NA
Calectasia obtusa,RS,200,NA,P3,NA
Callistachys lanceolatum,OSS,147,NA,NA,NA
Callistachys lanceolatum / sp South Coast,OSS,153,NA,NA,NA
Callistemon glaucum,RS,152,NA,NA,NA
Callistemon phoeniceus,NA,177,NA,NA,NA
