species,fire_response,page,post_fire_recovery,conservation_code,primary_juvenile_period
Callitris canescens,OSC,191,NA,NA,NA
Callitris columellaris,OSC,176,slow?,NA,NA
Callitris drummondii,OSC,179,NA,NA,NA
Callitris glaucophylla,OSC,176,slow?,NA,NA
Callitris preissii,OSC,141,slow,NA,NA
Callitris roei,OSC,178,slow,NA,NA
Calochilus sp. Hopetoun (H. Taylor s.n.),GEO,200,NA,P2,NA
Calothamnus affinis,OSC,159,medium,P4,48
Calothamnus asper,NA,177,NA,NA,NA
Calothamnus crassus,RS / OSC,155,NA,NA,NA
Calothamnus crassus,RS/OSC,200,NA,P4,NA
Calothamnus gracilis,RS,148,NA,NA,NA
Calothamnus huegelii,NA,148,NA,NA,NA
Calothamnus macrocarpus,RS,157,NA,P2,NA
Calothamnus microcarpus,OSC,200,NA,P2,36±
Calothamnus pinifolius,OSC,157,NA,NA,NA
Calothamnus quadridus,RS,164,NA,NA,NA
Calothamnus quadrifidus,RS,140,NA,NA,NA
Calothamnus quadrifidus,RS /OSC,172,NA,NA,NA
Calothamnus quadrifidus,RS/OSC,172,NA,NA,NA
Calothamnus robustus,?OSC,168,NA,P3,NA
Calothamnus robustus,OSC?,164,NA,NA,NA
Calothamnus sanguineus,RS,148,NA,NA,NA
Calothamnus sp. Kundip,OSC,157,NA,NA,NA
Calothamnus sp. Mt Lindesay,RS/OSC,143,medium - slow,NA,NA
Calothamnus sp. Mt Lindesay (B.G. Hammersley 439),RS/OSC,200,NA,P2,60 to 72
Calothamnus tuberosus,NA,145,NA,NA,NA
Calothamnus validus,NA,157,NA,NA,NA
Calothamnus villosus,OSC,142,NA,NA,NA
Calothamnus villosus,OSC?,157,NA,NA,NA
Calothamus gracilis,RS,179,NA,NA,NA
Calycopeplus marginatus,?OSS,200,NA,P3,NA
Calytrix nematoclada,NA,200,NA,P3,NA
Calytrix pulchella,NA,200,NA,P3,NA
Calytrix sp. Esperance,OSS,143,NA,NA,NA
Calytrix sp. Esperance,OSS?,140,NA,NA,NA
Calytrix tetragona,NA,193,NA,NA,NA
Calytrix tetragona,OSS?,178,NA,NA,NA
Carex tereticaulis,NA,200,NA,P1,NA
Carpobrotus pulcher,NA,200,NA,P2,NA
Caustis sp. Boyanup (G.S. McCutcheon 1706),RS,200,NA,P1,NA
Centrolepis caespitosa,OSS,200,NA,P4,NA
Centrolepis cephaloformis ssp. murrayi,OSS,200,NA,P3,NA
Cephalotus follicularis,RS,153,NA,NA,NA
Chamaescilla gibsonii,GEO,200,NA,P3,NA
Chamaexeros longicaulis,RS,200,NA,P2,24
Chamaluacium floriferum floriferum,OSS,200,NA,P3,36 to 48
Chamelaucium aorocladus,OSS?,200,NA,P2,36±
Chamelaucium axillare,?OSS,189,NA,NA,NA
Chamelaucium axillare,OSS,161,NA,NA,NA
Chamelaucium ciliatum,NA,145,NA,NA,NA
Chamelaucium floriferum ssp. diffusum,OSS,200,NA,P2,NA
Chamelaucium forrestii ssp. forrestii,OSS,143,NA,P2,NA
Chamelaucium forrestii ssp. orarium,NA,200,NA,P2,NA
Chamelaucium forrestii ssp. orarium,OSS?,140,NA,NA,NA
Chamelaucium juniperinum,OSS,200,NA,P2,NA
Choralaena quercifolia,OSS,149,rapid,NA,NA
Chordifex abortivus,OSS,200,NA,R,NA
Chordifex gracilior,OSS,200,NA,P3,NA
Chordifex isomorphus,RS,200,NA,P4,NA
Chordifex jacksonii,OSS,200,NA,P2,24
Chordifex leucoblepharus,RS,200,NA,P2,NA
Chordifex ornatus,OSS,200,NA,P2,NA
Choretrum glomeratum,NA,175,NA,NA,NA
Chorilaena quercifolia,OSS,193,rapid,NA,NA
Chorizema carinatum,NA,200,NA,P3,NA
Chorizema circinale,OSS,200,NA,P1,NA
Chorizema reticulatum,OSS,200,NA,P3,24
Chorizema ulotropis,NA,200,NA,P4,NA
Chthonocephalus multiceps,NA,200,NA,P2,NA
Cladia ferdinandii,NA,146,NA,NA,NA
Coleanthera coelophylla,NA,200,NA,P1,NA
Comesperma calcicola,NA,200,NA,P3,NA
Comesperma lanceolatum,NA,200,NA,P2,NA
Commersonia sp. Mt Groper (R. Cranfield & D. Kabay 9157),OSS,200,NA,R,NA
Conospermum coerulescens ssp. coerulescens,NA,200,NA,P1,NA
Conospermum distichium,RS/OSS,165,medium,NA,NA
Conospermum distichium,RS/OSS,183,NA,NA,NA
Conospermum dorrienii,OSS,159,NA,NA,NA
Conospermum leianthum ssp orientale,NA,188,NA,NA,NA
Conospermum leianthumssp leianthum,NA,188,NA,NA,NA
Conospermum quadripetalum,OSS?,200,NA,P2,NA
Conospermum sigmoideum,NA,200,NA,P2,NA
Conospermum spectabile,OSS,200,NA,P2,>36
Conospermum teretifolium,RS,151,NA,NA,NA
Conostephium marchantiorum,NA,200,NA,P3,NA
Conostephium uncinatum,NA,201,NA,P1,NA
Conostylis lepidospermoides,NA,201,NA,R,NA
Conostylis misera,RS,201,NA,R,NA
Conostylis seorsiflora ssp. Nyabing(A.Coates s.n.),NA,201,NA,P2,NA
Conothamnus aureus,RS,186,NA,NA,NA
Coopernookia georgei,OSS,201,NA,R,NA
Corybas limpidus,GEO,201,NA,P4,NA
Corymbia calophylla,RS,147,NA,NA,NA
Corymbia calophylla,RS ep,152,NA,NA,NA
Corymbia calophylla,RS/ ep,149,NA,NA,NA
Cosmelia rubra,RS,152,NA,NA,NA
Cratystylis conocephala,OSS?,192,NA,NA,NA
Cryptandra arbutiflora var.. pygmaea,NA,201,NA,P1,NA
Cryptandra congesta,NA,143,NA,NA,NA
Cryptandra congesta,RS/OSS,201,NA,R,17
Cryptandra craigiae,?OSS,201,NA,P1,36±
Cryptandra exserta,NA,201,NA,P1,NA
Cryptandra inconspicua,NA,201,NA,P2,NA
Cryptandra polyclada ssp. polyclada,NA,201,NA,P3,NA
Cyanicula deformis,NA,146,NA,NA,NA
Cyathochaeta stipoides,NA,201,NA,P3,NA
Cyathochaeta teretifolia,NA,201,NA,P3,NA
Cyathostemon sp. Dowak (J.M. Fox 86/271),NA,201,NA,P1,NA
Cyathostemon sp. Lake King (M.E. & M.E. Trudgen 1462),NA,201,NA,P2,NA
Cyathostemon sp. Salmon Gums (B. Archer 769),NA,201,NA,P3,NA
Cymbonotus preissianus,NA,201,NA,P3,NA
Dampiera decurrens,NA,201,NA,P2,NA
Dampiera deltoidea,OSS,201,NA,P4,< 48
Dampiera fitzgeraldensis,NA,201,NA,P2,NA
Dampiera orchardii,NA,201,NA,P2,NA
Dampiera sericantha,OSS,201,NA,P3,NA
Darwinia calothamnoides,NA,201,NA,R,NA
Darwinia carnea,NA,201,NA,R,NA
Darwinia citriodora,OSS,140,rapid,NA,NA
Darwinia collina,OSS,155,slow,R,72 to 84
Darwinia hypericifolia,OSS,201,NA,P4,48+
Darwinia leiostyla,OSS,201,NA,P4,36
Darwinia luehmannii,NA,201,NA,P2,NA
Darwinia macrostegia,OSS,201,NA,P4,≥36
Darwinia meeboldii,OSS,159,medium,R,48 +
Darwinia oxylepis,OSS,159,medium,R,48 to 60
Darwinia polycephala,NA,201,NA,P4,NA
Darwinia sp. Gibson (R.D. Royce 3569),NA,201,NA,P1,NA
Darwinia sp. Mt Baring (K.R. Newbey 9775),NA,201,NA,P1,NA
Darwinia sp. Mt Burdett (N.G. Marchant 80/42),NA,201,NA,P4,NA
Darwinia sp. Mt Ney (M.A. Burgman & S. McNee 1274),NA,201,NA,P1,NA
Darwinia sp. Mt Ragged,OSS,157,NA,NA,NA
Darwinia sp. Mt Ragged (S. Barrett 663),OSS,201,NA,P2,36 to 48
Darwinia sp. Peak Charles (A.S. George 10627),NA,201,NA,P2,NA
Darwinia sp. Stirling Range (G.J. Keighery 5732),OSS,201,NA,R,60 to 72
Darwinia sp.Thumb Peak(K.R.Newbey 4847),OSS?,201,NA,P2,NA
Darwinia squarrosa,OSS,201,NA,R,48 to 60
Darwinia wittwerorum,OSS,201,NA,R,60
Davieisa argillaceae,NA,177,NA,NA,NA
Davieisa lancifolia,RS,179,NA,NA,NA
Davieisa nematophylla,NA,174,NA,NA,NA
Davieisa teretifolia,RS/OSS,183,NA,NA,NA
Daviesia abnormis,RS,179,NA,NA,NA
Daviesia audax,OSS,179,NA,NA,NA
Daviesia campephylla,NA,201,NA,P2,NA
Daviesia crenulata,OSS,159,NA,NA,NA
Daviesia emarginata,OSS,179,NA,NA,NA
Daviesia emarginata,RS/OSS,160,NA,NA,NA
Daviesia glossosema,OSS,201,NA,R,48
Daviesia grossa,NA,157,NA,NA,NA
Daviesia horrida,RS,140,NA,NA,NA
Daviesia incrassata,OSS,179,NA,NA,NA
Daviesia incrassata spp. reversifolia,RS/OSS,165,NA,NA,NA
Daviesia megacalyx,OSS,201,NA,R,48
Daviesia mesophylla,OSS,201,NA,P2,≥24
Daviesia newbeyi,NA,201,NA,P2,NA
Daviesia obovata,RS/ OSS,202,NA,R,NA
Daviesia ovata,RS/ OSS,202,NA,R,NA
Daviesia pachyphylla,RS/OSS,160,NA,NA,NA
Daviesia pauciflora,NA,202,NA,P2,NA
Daviesia pseudaphylla,OSS,202,NA,R,36
Daviesia sarrissa,OSS,179,NA,NA,NA
Daviesia spinossisima,NA,151,NA,NA,NA
Daviesia spp,NA,189,NA,NA,NA
Daviesia teretifolia,RS/OSS,158,NA,NA,NA
Degelia flabellata,Lichen,202,NA,P2,NA
Desmocladus biformis,NA,202,NA,P3,NA
Desmocladus flexuosa,NA,162,NA,NA,NA
Deyeuxia drummondii,OSS,202,NA,R,12 to 24
Deyeuxia inaequalis,NA,202,NA,P1,NA
Dichelachne crinita,NA,154,NA,NA,NA
Dicrastylis archeri,NA,202,NA,P1,NA
Dicrastylis capitellata,NA,202,NA,P1,NA
Dicrastylis corymbosa,NA,202,NA,P3,NA
Dicrastylis obovata,NA,202,NA,P2,NA
Dillwynia acerosa,NA,202,NA,P1,NA
Dillwynia pungens,OSS,142,NA,NA,NA
Diuris affin pulchella,NA,146,NA,NA,NA
Diuris drummondii,GEO,202,NA,R,NA
Diuris heberlei,GEO,202,NA,P2,NA
Dodanaea ceratocarpa,RS,140,NA,NA,NA
Dodanaea spp,NA,189,NA,NA,NA
Dodanaea stenozyga,NA,177,NA,NA,NA
Dodanaea viscosa,OSS,142,NA,NA,NA
Dodonaea caespitosa,NA,145,NA,NA,NA
Dodonaea ceratocarpa,RS,145,NA,NA,NA
Dodonaea hexandra,NA,202,NA,P1,NA
Dodonaea pinifolia,RS,176,NA,NA,NA
Drakaea micrantha,GEO,202,NA,R,NA
Drepanocladus aduncus,Moss,202,NA,P2,NA
Drosera binata,OSS?,202,NA,P2,12 to 24
Drosera fimbriata,OSS,202,NA,P4,12
Drosera gibsonii,GEO?,202,NA,P2,NA
Drosera salina,GEO?,202,NA,P2,NA
Drummondita hassellii,OSS,176,NA,NA,NA
Drummondita longifolia,OSS,202,NA,R,36 +
E salmonophloia,OSC,191,NA,NA,NA
E. dolichoryncha,OSC,191,NA,NA,NA
E. dundasii,OSC,191,NA,NA,NA
E. forrestiana,OSC,191,NA,NA,NA
E. goniantha subsp. goniantha,RS,150,NA,NA,NA
E. kumarlensis,OSC,191,NA,NA,NA
E. longicornis,RS ep,174,NA,NA,NA
E. loxophleba,RS,174,NA,NA,NA
E. loxophleba x spathulata,NA,174,NA,NA,NA
E. occidentalis,RS ep/OSC,174,NA,NA,NA
E. occidentalis,RSep/OSC,191,NA,NA,NA
E. occidentalis x platypus,OSC,175,slow,NA,NA
E. oleosa,RS,175,NA,NA,NA
E. platypus ssp platypus,OSC,175,slow,NA,NA
E. salmonophloia,OSC,191,NA,NA,NA
E. salmonophloia,RS ep/ OSC,175,slow,NA,NA
E. salmonophloia,RS ep/OSC,175,slow,NA,NA
E. sp mallet,OSC,175,slow,NA,NA
E. sp. aff uncinata,RS,175,NA,NA,NA
E. spathulata,OSC,175,slow,NA,NA
E. spreta,OSC,191,NA,NA,NA
E. urna,OSC,175,slow,NA,NA
E. urna,OSC,191,NA,NA,NA
E. valens,OSC,191,NA,NA,NA
E. wandoo,RS ep/OSC,175,NA,NA,NA
Empodisma gracillimum,RS,153,NA,NA,NA
Eremophila biserrata,OSS,202,NA,P4,NA
Eremophila chamaephila,OSS,202,NA,P2,NA
Eremophila ciliata,OSS,202,NA,R,NA
Eremophila compressa,OSS,202,NA,P3,NA
Eremophila denticulata ssp. denticulata,OSS,202,NA,R,NA
Eremophila denticulata ssp. trisulcata,OSS,202,NA,R,24 to 36
Eremophila glabra ssp. Scaddan (C. Turley s.n. 10/11/2005),RS/OSS,202,NA,P1,NA
Eremophila lactea,OSS,202,NA,R,24 to 36
Eremophila oblonga,RS/OSS,202,NA,P1,NA
Eremophila racemosa,OSS,202,NA,P4,NA
Eremophila serpens,OSS,202,NA,P4,NA
Eremophila spp,NA,174,NA,NA,NA
Eremophila subteretifolia,OSS,202,NA,R,NA
Eremophila succinea,OSS,202,NA,P3,NA
Eremophila veneta,RS/OSS,202,NA,P4,NA
Eriochilus scaber,NA,146,NA,NA,NA
Eriochilus scaber ssp orbifolia,GEO,202,NA,P1,12
Eryngium ferox,NA,202,NA,P3,NA
Eucalyptus acies,RS,156,NA,P4,NA
Eucalyptus acies x preissiana,RS,156,NA,NA,NA
Eucalyptus aff cornuta,RS,193,NA,NA,NA
Eucalyptus alipes,OSC,174,slow,NA,NA
Eucalyptus anceps,RS,164,NA,NA,NA
Eucalyptus angulosa,RS,193,NA,NA,NA
Eucalyptus angustissima,RS,174,NA,NA,NA
Eucalyptus annulata,RS,163,NA,NA,NA
Eucalyptus aquilina,RS,202,NA,P4,NA
Eucalyptus arborella,OSC,164,slow,P3,NA
Eucalyptus astringens,OSC,148,NA,NA,NA
Eucalyptus astringens ssp. redacta,OSC,164,slow,NA,NA
Eucalyptus astringens subsp. 'kundip',OSC,160,slow,NA,NA
Eucalyptus balanopelex,RS,202,NA,P1,NA
Eucalyptus brandiana,OSC,164,slow,NA,NA
Eucalyptus brandiana ms,OSC,202,NA,P?,NA
Eucalyptus brevistylis,RS ep /OSC,149,NA,NA,NA
Eucalyptus brevistylis,RS/OSC,202,NA,P4,NA
Eucalyptus brockwayi,OSC,202,NA,P3,NA
Eucalyptus bupestrium,RS ep,167,NA,NA,NA
Eucalyptus buprestium,RS ep,158,NA,NA,NA
Eucalyptus buprestium x erectifolia,RS,202,NA,P4,NA
Eucalyptus buprestium x ligulata,RS,202,NA,P4,NA
Eucalyptus buprestium x marginata,RS,203,NA,P4,NA
Eucalyptus buprestium x staeri,RS,203,NA,P4,NA
Eucalyptus burdettiana,RS,156,NA,R,NA
Eucalyptus calcicola ssp. calcicola,RS,203,NA,P4,NA
Eucalyptus calcicola ssp. unita,RS,203,NA,P4,NA
Eucalyptus calyerup,OSC,175,slow,P1,NA
Eucalyptus captiosa,RS,185,NA,NA,NA
Eucalyptus cerasiformis,RS,176,NA,NA,NA
Eucalyptus cernua,OSC,160,slow,NA,NA
Eucalyptus clivicola,OSC,160,slow,NA,NA
Eucalyptus conferruminata,OSC,140,NA,NA,NA
Eucalyptus conferruminata,OSC,141,slow,NA,NA
Eucalyptus cooperiana,RS,191,NA,NA,NA
Eucalyptus cornuta,RS ep,140,NA,NA,NA
Eucalyptus cornuta,RSE,141,NA,NA,NA
Eucalyptus coronata,RS,156,NA,R,NA
Eucalyptus creta,OSC,203,NA,P3,NA
Eucalyptus cuspidata,NA,161,NA,NA,NA
Eucalyptus cuspidata,RS,141,NA,NA,NA
Eucalyptus decipiens,RS,147,NA,NA,NA
Eucalyptus decipiens,RS ep,147,NA,NA,NA
Eucalyptus decipiens subsp adesmo.,RS,141,NA,NA,NA
Eucalyptus decipiens subsp. adesmo.,RS,141,NA,NA,NA
Eucalyptus decipiens x falcata,RS,147,NA,NA,NA
Eucalyptus decurva,RS,156,NA,NA,NA
Eucalyptus decurva,RS ep,167,NA,NA,NA
Eucalyptus deflexa,RS,203,NA,P4,NA
Eucalyptus densa,OSC,175,slow,NA,NA
Eucalyptus desmondensis,RS,203,NA,P4,NA
Eucalyptus dielsii,OSC,169,slow,NA,NA
Eucalyptus dielsii x platypus,OSC,203,NA,P1,NA
Eucalyptus diptera,OSC,176,slow,NA,NA
Eucalyptus dissimulata,RS,180,NA,NA,NA
Eucalyptus diversicolor,RS ep/ OSC,149,slow,NA,NA
Eucalyptus dolichorhyncha,OSC,203,NA,P4,NA
Eucalyptus dolichoryncha,OSC,175,slow,NA,NA
Eucalyptus doratoxylon,RS,155,NA,NA,NA
Eucalyptus doratoxylon,RS ep,141,NA,NA,NA
Eucalyptus dundasii,OSC,176,slow,NA,NA
Eucalyptus erectifolia,RS,203,NA,P4,NA
Eucalyptus erectifolia,RS ep,158,NA,NA,NA
Eucalyptus eremophila,RS,176,slow,NA,NA
Eucalyptus eremophila,RS,180,NA,NA,NA
Eucalyptus extensa,OSC,169,slow,NA,NA
Eucalyptus extrica,RS,185,NA,NA,NA
Eucalyptus falcata,RS,147,NA,NA,NA
Eucalyptus famelica,RS,203,NA,P3,NA
Eucalyptus ficifolia,RS ep,152,NA,NA,NA
Eucalyptus foliosa,NA,203,NA,P3,NA
Eucalyptus forrestiana,OSC,175,slow,NA,NA
Eucalyptus fraseri ssp. melanobasis,OSC,203,NA,P2,NA
Eucalyptus garderni,OSC,148,NA,NA,NA
Eucalyptus gardneri ssp. Ravensthorpensis,OSC,169,slow,NA,NA
Eucalyptus georgei ssp. fulgida,OSC,203,NA,P4,NA
Eucalyptus georgei ssp. georgei,OSC,176,slow,P4,NA
Eucalyptus gonaiantha,RS,168,NA,NA,NA
Eucalyptus goniantha notac,RS,185,NA,NA,NA
Eucalyptus goniantha ssp. goniantha,RS,203,NA,P4,NA
Eucalyptus goniocarpa,OSC,191,NA,NA,NA
Eucalyptus guilfoylei,RS ep/ OSC,149,slow,NA,NA
Eucalyptus histophylla,RS,203,NA,P3,NA
Eucalyptus incerata,RS,176,NA,NA,NA
Eucalyptus indurata,RS,172,NA,NA,NA
Eucalyptus insularis,RS,185,NA,R,NA
Eucalyptus jacksonii,RS ep / OSC,149,slow,NA,NA
Eucalyptus kessellii,RS,180,NA,NA,NA
Eucalyptus kumarlensis,OSC,174,slow,NA,NA
Eucalyptus latens,RS,203,NA,P4,NA
Eucalyptus lehamanii,RS,168,NA,NA,NA
Eucalyptus lehmanii ssp. parallela,RS,169,NA,NA,NA
Eucalyptus lehmannii,RS,145,NA,NA,NA
Eucalyptus lehmannii subsp. parallela,RS,156,NA,NA,NA
Eucalyptus leptocalyx,RS,191,NA,NA,NA
Eucalyptus ligulata ssp ligulata,RS,185,NA,NA,NA
Eucalyptus ligulata ssp. ligulata,RS,203,NA,P4,NA
Eucalyptus ligulata ssp. stirlingica,RS,203,NA,P4,NA
Eucalyptus litorea,RS,185,NA,P2,NA
Eucalyptus livida,RS,176,NA,NA,NA
Eucalyptus longicornis,RS ep,176,NA,NA,NA
Eucalyptus longicornis,RSep,174,NA,NA,NA
Eucalyptus marginata,RS,155,NA,NA,NA
Eucalyptus marginata,RS ep,150,NA,NA,NA
Eucalyptus marginata,RSep,147,NA,NA,NA
Eucalyptus marginata x pachyloma,RS,203,NA,P4,NA
Eucalyptus mcquoidii,OSC,160,slow,P2,NA
Eucalyptus megacarpa,RS ep / OSC,143,NA,NA,NA
Eucalyptus megacarpa,RS ep /OSC,140,NA,NA,NA
Eucalyptus megacornuta,OSC,161,slow,NA,NA
Eucalyptus melanophitra,OSC,163,slow,P4,NA
Eucalyptus melanoxylon,RS ep,176,NA,NA,NA
Eucalyptus melanoxylon,RSep,174,NA,NA,NA
Eucalyptus merrickiae,RS,203,NA,R,NA
Eucalyptus micranthera,RS,185,NA,NA,NA
Eucalyptus microschema,RS,203,NA,P3,NA
Eucalyptus misella,NA,203,NA,P1,NA
Eucalyptus newbeyi,OSC,203,NA,P3,NA
Eucalyptus newbyii,OSC,163,slow,NA,NA
Eucalyptus notactites,RS,141,NA,NA,NA
Eucalyptus nutans,OSC,164,slow,R,NA
Eucalyptus occidentalis,RS ep / OSC,150,NA,NA,NA
Eucalyptus occidentalis,RS ep /OSC,184,NA,NA,NA
Eucalyptus occidentalis,RS/OSC,191,NA,NA,NA
Eucalyptus occidentalis,RSep/OSC,161,NA,NA,NA
Eucalyptus occidentalis x utilis,OSC,161,NA,NA,NA
Eucalyptus ocidentalis,RS ep/OSC,164,NA,NA,NA
Eucalyptus oleosa,RS ep,176,NA,NA,NA
Eucalyptus orthostemon,RS,147,NA,NA,NA
Eucalyptus pachyloma,RS ep,158,NA,NA,NA
Eucalyptus patens,RS ep,150,NA,NA,NA
Eucalyptus phenax,RS ep,169,NA,NA,NA
Eucalyptus pileata,RS,160,NA,NA,NA
Eucalyptus platypus,OSC,160,slow,NA,NA
Eucalyptus platypus ssp platypus,OSC,163,slow,NA,NA
Eucalyptus platypus ssp. congregata,OSC,169,slow,NA,NA
Eucalyptus platypus ssp. platypus,OSC,169,slow,NA,NA
Eucalyptus platypus subsp congregata,OSC,174,slow,NA,NA
Eucalyptus platypus subsp. congregata,OSC,175,slow,NA,NA
Eucalyptus pleurocarpa,RS,170,NA,NA,NA
Eucalyptus pleurocarpa,RS ep,165,NA,NA,NA
Eucalyptus praeterissima,OSC,164,slow,NA,NA
Eucalyptus praetermissa,OSC,163,slow,P4,NA
Eucalyptus preissiana,RS,156,NA,NA,NA
Eucalyptus preissiana,RS ep,158,NA,NA,NA
Eucalyptus preissiana ssp. lobata,RS,203,NA,P4,NA
Eucalyptus preissiana x staeri,RS,203,NA,P4,NA
Eucalyptus proxima,RS,203,NA,P4,NA
Eucalyptus purpurata,OSC,169,slow,R,NA
Eucalyptus quaerenda,RS,203,NA,P3,NA
Eucalyptus ravida,OSC,174,slow,NA,NA
Eucalyptus redunca,RS,156,NA,NA,NA
Eucalyptus retusa,RS,141,NA,P?,NA
Eucalyptus retusa x cornuta,RS,141,NA,NA,NA
Eucalyptus retusa x cuspidata,RS,141,NA,NA,NA
Eucalyptus rhomboidea,OSC,176,slow,P4,NA
Eucalyptus rudis,RS ep,150,NA,NA,NA
Eucalyptus rugulata,OSC,203,NA,P4,NA
Eucalyptus salicola,OSC,174,slow,NA,NA
Eucalyptus salmonophloia,"RS ep, OSC",169,slow,NA,NA
Eucalyptus salmonophloia,Rsep/OSC,176,slow,NA,NA
Eucalyptus salubris,OSC,169,slow,NA,NA
Eucalyptus semiglobosa,RS,203,NA,P3,NA
Eucalyptus sepulcralis,RS,156,NA,NA,NA
Eucalyptus sinuosa,RS,203,NA,P2,NA
Eucalyptus sp. Esperance (M.E. French 1579),NA,203,NA,P1,NA
Eucalyptus sp. Fitzgerald River (M.I.H. Brooker 10923),NA,203,NA,P2,NA
Eucalyptus sp. dendrosheath,OSC,174,slow,NA,NA
Eucalyptus spathulata,OSC,175,slow,NA,NA
Eucalyptus spp,NA,171,NA,NA,NA
Eucalyptus spp,RS,182,NA,NA,NA
Eucalyptus staeri,RS ep,150,NA,NA,NA
Eucalyptus steedmanii,OSC,203,NA,R,NA
Eucalyptus stoatei,OSC,175,slow,P4,NA
Eucalyptus surgens,RS,188,NA,NA,NA
Eucalyptus sweedmaniana ms,RS,204,NA,P1,NA
Eucalyptus talyuberlup,OSC?,155,NA,NA,NA
Eucalyptus tenuis,OSC,176,slow,NA,NA
Eucalyptus tetragona,RS,185,NA,NA,NA
Eucalyptus tetraptera,RS,145,NA,NA,NA
Eucalyptus transcontinentalis,RS ep,176,NA,NA,NA
Eucalyptus transcontinentalis,RSep,174,NA,NA,NA
Eucalyptus uncinata,RS,191,NA,NA,NA
Eucalyptus uncinatus,RS ep,167,NA,NA,NA
Eucalyptus urna,OSC,174,slow,NA,NA
Eucalyptus utilis,OSC,141,slow,NA,NA
Eucalyptus varia ssp. salsuginosa,RS,204,NA,P4,NA
Eucalyptus vesiculosa,OSC,163,slow,P2,NA
Eucalyptus virginea,RS/OSC,204,NA,P4,NA
Eucalyptus virgineae,RS,143,NA,NA,NA
Eucalyptus wandoo,RS ep / OSC,163,NA,NA,NA
Eucalyptus wandoo,RS/ep/OSC,147,NA,NA,NA
Eucalyptus x bennettiae,RS,204,NA,P4,NA
Eucalyptus x chrysantha,RS,204,NA,P2,NA
Eucalyptus x erythrandra,RS,204,NA,P4,NA
Eucalyptus x kalganensis,RS,204,NA,P4,NA
Eucalyptus x missilis,RS,204,NA,P4,NA
Eucalyptus x stoataptera,RS/OSC,204,NA,P2,NA
Eucalypyus protensa,OSC,176,slow,NA,NA
Eucalytpus decurva,RS,167,NA,NA,NA
Eucalytpus kalganensis,RS ep,158,NA,NA,NA
Eucalytpus kessellii,RS,171,NA,NA,NA
Eucalytpus leptocalyx,RS,180,NA,NA,NA
Eucalytpus ligulata ssp. stirlingica,RS ep,158,NA,NA,NA
Eucalytpus occidentalis,RS ep / OSC,147,NA,NA,NA
Eucalytpus oleosa,RSep,191,NA,NA,NA
Eucalytpus redacta,OSC,163,slow,NA,NA
Eucalytpus rudis,RS ep,147,NA,NA,NA
Eucalytpus staeri,RS,167,NA,NA,NA
Eucalytpus staeri,RS ep,167,NA,NA,NA
Eucalytus ligulata ssp. stirlingica,RS,155,NA,NA,NA
Euphrasia scabra,OSS,204,NA,P2,?
Euryomyrtus leptospermoides,NA,204,NA,P3,NA
Eutaxia acanthoclada,NA,204,NA,P3,NA
Eutaxia actinophylla,NA,204,NA,P1,NA
Eutaxia andocada,NA,204,NA,P1,NA
Eutaxia myrtifolia,OSS,140,rapid,NA,NA
