species,fire_response,page,post_fire_recovery,conservation_code,primary_juvenile_period
Melaleuca elliptica,OSC,186,medium,NA,NA
Melaleuca elliptica,RS/OSC,142,medium,NA,NA
Melaleuca eximia,NA,146,NA,P2,NA
Melaleuca fissurata,NA,208,NA,P4,NA
Melaleuca fulgens,NA,146,NA,NA,NA
Melaleuca fulgens,RS,142,NA,NA,NA
Melaleuca fulgens,RS?,158,NA,NA,NA
Melaleuca glaberimma,OSC,146,NA,NA,NA
Melaleuca glaberrima,OSC,171,NA,NA,NA
Melaleuca glena,NA,146,NA,NA,NA
Melaleuca globifera,RS/OSC,194,slow,NA,NA
Melaleuca globiferra,R/OSC,142,NA,NA,NA
Melaleuca globiferra,RS/OSC,186,NA,NA,NA
Melaleuca halmaturorum,NA,174,NA,NA,NA
Melaleuca hamata,RS,169,NA,NA,NA
Melaleuca haplantha,OSC,160,NA,NA,NA
Melaleuca haplantha,OSC?,169,NA,NA,NA
Melaleuca incana,RS,153,NA,NA,NA
Melaleuca incana ssp tenella,OSC,187,NA,NA,NA
Melaleuca incana ssp. tenella,OSC,186,NA,P3,NA
Melaleuca lanceolata,OSC,140,slow,NA,NA
Melaleuca lanceolata,OSC,177,NA,NA,NA
Melaleuca lateriflora,RS/OSC,177,NA,NA,NA
Melaleuca lateriflora ssp. lateriflora,RS,182,NA,NA,NA
Melaleuca lateriflora ssp. lateriflora,RS/OSC,171,NA,NA,NA
Melaleuca lateritia,RS,150,NA,NA,NA
Melaleuca laxiflora,NA,192,NA,NA,NA
Melaleuca lecanantha,NA,189,NA,NA,NA
Melaleuca macronychia ssp. trygonoides,NA,208,NA,P3,NA
Melaleuca micromera,NA,208,NA,P3,NA
Melaleuca microphylla,RS ep,152,NA,NA,NA
Melaleuca nesophila,OSC,157,NA,NA,NA
Melaleuca ordinifolia,NA,208,NA,P2,NA
Melaleuca papillosa,NA,208,NA,P4,NA
Melaleuca pauciflora,RS,150,NA,NA,NA
Melaleuca pauperiflora,OSC,160,NA,NA,NA
Melaleuca pauperiflora spp pauperiflora,OSC,170,NA,NA,NA
Melaleuca pauperiflora ssp. fastigiata,OSC,192,NA,NA,NA
Melaleuca penicula,NA,178,NA,P2,NA
Melaleuca pentagona,NA,171,NA,NA,NA
Melaleuca pentagona,OSC,194,NA,NA,NA
Melaleuca pentagona,RS,177,NA,NA,NA
Melaleuca pentagona,RS/OSC,186,NA,NA,NA
Melaleuca pentagona ssp raggedensis,OSC?,158,NA,NA,NA
Melaleuca pentagona ssp. latifolia,NA,189,NA,NA,NA
Melaleuca phoidophylla,NA,177,NA,NA,NA
Melaleuca podiocarpa,NA,146,NA,NA,NA
Melaleuca polycephala,NA,208,NA,P3,NA
Melaleuca pomphostoma,NA,171,NA,NA,NA
Melaleuca preissiana,RS ep,163,NA,NA,NA
Melaleuca preissiana,RS ep / OSC,147,NA,NA,NA
Melaleuca preissiana,RS ep/OSC,150,NA,NA,NA
Melaleuca pritzelii,NA,208,NA,P2,NA
Melaleuca pulchella,RS,180,NA,NA,NA
Melaleuca pungens,OSC,159,NA,NA,NA
Melaleuca pungens,OSC,181,medium,NA,NA
Melaleuca rhaphiophylla,RS /OSC,150,NA,NA,NA
Melaleuca rhaphiophylla,RS ep/ OSC,147,NA,NA,NA
Melaleuca rigidifolia,NA,171,NA,NA,NA
Melaleuca rigidifolia,OSC,160,NA,NA,NA
Melaleuca ringens,RS/OSC,208,NA,P3,36 to 48
Melaleuca sapientes,OSC,181,NA,NA,NA
Melaleuca scabra,RS,189,NA,NA,NA
Melaleuca scabra,RS/OSC,187,NA,NA,NA
Melaleuca sculponeata,NA,208,NA,P3,NA
Melaleuca sheathiana,OSC,174,NA,NA,NA
Melaleuca sheathiana,OSC?,192,NA,NA,NA
Melaleuca similis,RS,208,NA,P1,NA
Melaleuca societatis,OSC,171,NA,NA,NA
Melaleuca sp. Gorse,OSC,170,NA,NA,NA
Melaleuca sp. Kundip,OSC,160,NA,NA,NA
Melaleuca sp. Kundip (G.F. Craig 6020),OSC,208,NA,P1,NA
Melaleuca spathulata,RS,168,NA,NA,NA
Melaleuca spp,NA,174,NA,NA,NA
Melaleuca stramentosa,OSC,160,NA,P3,NA
Melaleuca striata,RS,165,NA,NA,NA
Melaleuca strobophylla,NA,189,NA,NA,NA
Melaleuca subalaris,NA,192,NA,NA,NA
Melaleuca suberosa,RS,163,NA,NA,NA
Melaleuca subfalcata,NA,164,NA,NA,NA
Melaleuca subfalcata,?,184,NA,NA,NA
Melaleuca subtrigona,RS,168,NA,NA,NA
Melaleuca teuthidoides,NA,170,NA,NA,NA
Melaleuca thapsina,OSC,170,NA,NA,NA
Melaleuca thymoides,RS,152,NA,NA,NA
Melaleuca torquata,NA,170,NA,NA,NA
Melaleuca tuberculata,NA,187,NA,NA,NA
Melaleuca uncinata,RS,158,NA,NA,NA
Melaleuca undulata,OSC,158,NA,NA,NA
Melaleuca viminea,OSC,147,medium,NA,NA
Melaleuca viminea,OSC,152,NA,NA,NA
Melaleuca viminea,OSC,154,medium to slow,NA,NA
Melaleuca viminea ssp. appressa,NA,208,NA,P2,NA
Melaleuca viminea ssp. demissa,?OSC,194,NA,NA,NA
Melaleuca violacea,NA,168,NA,NA,NA
Melaleuca violaceae,NA,166,NA,NA,NA
Meleluca spathulata,RS,153,NA,NA,NA
Melleuca pulchella,RS,192,NA,NA,NA
Meziella trifida,OSS,208,NA,R,NA
Microcorys lenticularis,OSS,208,NA,P2,≤48
Microcorys longiflora,OSS,208,NA,P3,NA
Microcorys pimeleoides,OSS?,208,NA,P3,NA
Microcorys sp. Boxwood (K.R. Newbey 4200),OSS,208,NA,P1,NA
Microcorys sp. Stirling Range (S. Barrett 1392),OSS?,208,NA,P2,NA
Microcybe pauciflora ssp. grandis,NA,208,NA,P3,NA
Microlaena stipioides,RS,154,NA,NA,NA
Micromyrtus elobata,NA,146,NA,NA,NA
Micromyrtus elobata ssp. scopula,NA,208,NA,P3,NA
Micromyrtus imbricata,NA,146,NA,NA,NA
Micromyrtus navicularis,OSS,208,NA,P3,NA
Microseris scapigera,NA,208,NA,P3,NA
Microtis globula,GEO,208,NA,R,NA
Microtis media ssp. quadrata,NA,208,NA,P4,NA
Microtis pulchella,GEO,208,NA,P4,NA
Mirbelia densiflora,NA,208,NA,P1,NA
Mirbelia dilata,OSS,150,rapid,NA,NA
Mirbelia dilatata,OSS,142,rapid,NA,NA
Mirbelia microphylla,NA,146,NA,NA,NA
Mitreola minima,OSS,209,NA,P3,NA
Monotoca aristata,NA,157,NA,NA,NA
Monotoca aristata,OSS,209,NA,P2,NA
Monotoca leucantha,OSS,209,NA,P3,NA
Muiriantha hassellii,OSS,209,NA,P4,24
Myoporum cordifolium,OSS,209,NA,R,36
Myoporum insulare,NA,194,NA,NA,NA
Myoporum oppositifolium,OSS,154,rapid,NA,NA
Myoporum tetrandum,OSC,194,NA,NA,NA
Myoporum turbinatum,OSS,209,NA,R,24 to 36?
Myoporum velutinum,OSS,209,NA,P1,NA
Myriocephalus appendiculatus,NA,209,NA,P3,NA
Myriocephalus biflorus,NA,209,NA,P2,NA
Myriophyllum balladoniense,NA,209,NA,P4,NA
Myriophyllum petraeum,NA,209,NA,P4,NA
Olax scalariformis,NA,209,NA,P3,NA
Olearia laciniifolia,NA,209,NA,P2,NA
Olearia muelleri,NA,177,NA,NA,NA
Olearia paucidentata,OSS,143,NA,NA,NA
Opercularia hirsuta,NA,209,NA,P2,NA
Opercularia rubioides,NA,209,NA,P2,NA
Orthrosanthus muelleri,GEO,209,NA,R,NA
Otion rigidum,NA,209,NA,P2,NA
Paracaleana parvula,NA,209,NA,P2,NA
Paraserianthes lophantha,OSS,149,rapid,NA,NA
Parmeliopsis macrospora,NA,209,NA,P3,NA
Patersonia inaequalis,NA,209,NA,P2,NA
Pentapogon quadrifidus var.. quadrifidus,OSS,209,NA,P2,12
Pericalymma ellipticum,RS,163,NA,NA,NA
Pericalymma spongicaule,OSC,154,NA,NA,NA
Persoonia baeckeoides,NA,209,NA,P1,NA
Persoonia brevirhachis,NA,209,NA,P3,NA
Persoonia cymbifolia,NA,209,NA,P3,NA
Persoonia longifolia,RS,149,NA,NA,NA
Persoonia micranthera,OSS,155,slow,R,NA
Persoonia scabra,NA,209,NA,P3,NA
Persoonia striata,RS/OSS,180,NA,NA,NA
Persoonia teretifolia,NA,146,NA,NA,NA
Petrophile acicularis,OSC,152,NA,NA,NA
Petrophile anceps,OSC,159,NA,NA,NA
Petrophile biternata,NA,209,NA,P3,NA
Petrophile carduacea,OSC,159,NA,NA,NA
Petrophile crispata,NA,168,NA,NA,NA
Petrophile divaricata,OSC,166,NA,NA,NA
Petrophile diversifolia,OSC,149,medium,NA,NA
Petrophile ericifolia,OSC,166,medium,NA,NA
Petrophile ericifolia,OSS,165,NA,NA,NA
Petrophile fastigiata,NA,146,NA,NA,NA
Petrophile fastigiata,OSC?,184,NA,NA,NA
Petrophile glauca,OSC,171,slow,NA,NA
Petrophile longifolia,NA,209,NA,P3,NA
Petrophile longifolia,OSC,159,NA,NA,NA
Petrophile media,NA,148,NA,NA,NA
Petrophile phyllicoides,OSC,154,slow,NA,NA
Petrophile rigida,RS,152,NA,NA,NA
Petrophile seminuda,RS/OSC,171,medium,NA,NA
Petrophile seminuda,RS/OSC,182,NA,NA,NA
Petrophile seorsiflora,NA,184,NA,NA,NA
Petrophile serruriae,OSC,148,medium,NA,NA
Petrophile serruriae,OSC,159,medium to slow,NA,NA
Petrophile serrurieae,OSC,166,medium to slow,NA,NA
Petrophile squamata,OSC,160,slow,NA,NA
Petrophile squamata ssp. northern,OSC,158,NA,NA,NA
Petrophile stricta,NA,182,NA,NA,NA
Petrophile teretifolia,NA,158,NA,NA,NA
Petrophile teretifolia,OSC,187,medium to slow,NA,NA
Petrophile teretifolia,RS/OSC,165,medium,NA,NA
Petrophile teretifolia,RS/OSC,184,NA,NA,NA
Phebalium lepidotum,NA,146,NA,NA,NA
Philotheca apiculata,NA,209,NA,P2,NA
Philotheca cymbiformis,NA,209,NA,P2,NA
Philotheca gardneri spp Ravesnthorpe,NA,173,NA,NA,NA
Philotheca gardneri ssp. Ravensthorpe (G.F. Craig 6902),NA,209,NA,P1,NA
Philotheca gardneri ssp. globosa,NA,209,NA,P1,NA
Phlegmatospermum eremaeum,NA,209,NA,P2,NA
Phyllanthus calycina,NA,146,NA,NA,NA
Phyllanthus calycinus,OSS,194,NA,NA,NA
Phyllantus scaber,OSS,194,NA,NA,NA
Phyllota barbata,OSS,152,NA,NA,NA
Phymatocarpus maxwellii,OSC,184,NA,NA,NA
Pilostyles collina,NA,209,NA,P4,NA
Pimelea argentea,OSS,194,NA,NA,NA
Pimelea clavata,OSS,154,rapid,NA,NA
Pimelea clavata,OSS,194,NA,NA,NA
Pimelea halophila,NA,209,NA,P2,NA
Pimelea longiflora ssp. eyrei,NA,209,NA,P2,NA
Pimelea neokyrea,NA,209,NA,P2,NA
Pimelea pelinos,NA,209,NA,P1,NA
Pimelea physodes,OSS,209,NA,P4,NA
Pimelea rosea ssp. annelsii,NA,209,NA,P3,NA
Pittosporum angustifolium,NA,177,NA,NA,NA
Pityrodia chrysocalyx,NA,209,NA,P3,NA
Pityrodia exserta,NA,157,NA,NA,NA
Platysace sp. Stirling (J.M. Fox 88/262),OSS,209,NA,P2,24
Pleurophascum occidentale,MOSS,209,NA,P4,NA
Poa drummoniana,RS,154,NA,NA,NA
Poa porphryoclados,NA,154,NA,NA,NA
Pomaderris grandis,OSS,209,NA,P4,24
Pomaderris myrtilloides,NA,194,NA,NA,NA
Prasophyllum paulineae,GEO,209,NA,P1,NA
Prostanthera carrickiana,NA,146,NA,NA,NA
Prostanthera carrickiana,OSS,209,NA,P4,NA
Prostanthera splendens,NA,209,NA,P1,NA
Prostanthera verticillaris,OSS,209,NA,P1,NA
Prostanthera verticllaris,OSS,140,NA,NA,NA
Pterostylis recurva,NA,146,NA,NA,NA
Pterostylis sanguinea,NA,146,NA,NA,NA
Pterostylis sp. Ongerup (K.R. Newbey 4874),GEO,210,NA,P4,NA
Ptilotus halophilus,NA,210,NA,P4,NA
Pulenaea calycina ssp. proxaena,OSS,172,NA,NA,NA
Pultenaea adunca,NA,210,NA,P3,NA
Pultenaea brachyphylla,NA,210,NA,P2,NA
Pultenaea brachyphylla,OSS,180,NA,NA,NA
Pultenaea calycina ssp. calycina,NA,210,NA,P3,NA
Pultenaea calycina ssp. proxaena,OSS,170,NA,NA,NA
Pultenaea calycina ssp. proxena,OSS,210,NA,P4,NA
Pultenaea craigiana,OSS?,160,NA,NA,NA
Pultenaea daena,OSS,210,NA,P3,≤24
Pultenaea indira ssp. monstrosita,NA,210,NA,P3,NA
Pultenaea indira ssp. pudoides,NA,210,NA,P2,NA
Pultenaea pinifolia,NA,210,NA,P3,NA
Pultenaea sp. Kundip (G.F. Craig 6008),OSS?,210,NA,P1,NA
Pultenaea wudjariensis,NA,210,NA,P1,NA
Pultenaeae heteroclita,NA,161,NA,NA,NA
Pultenaeae heteroclita,OSS,194,NA,NA,NA
Pultenaeae verruculosa,OSS,151,NA,NA,NA
Reedia spathacea,RS,153,NA,R,NA
Regelia cymbifolia,NA,210,NA,P4,NA
Regelia inops,NA,168,NA,NA,NA
Rhacocarpus rehmannianus var.. webbianus,Cryptogram,210,NA,R,NA
Rhadinothamnus anceps,OSS,154,rapid,NA,NA
Rhadinothamnus rudis,NA,164,NA,NA,NA
Rhadinothamnus rudis,OSS,194,NA,NA,NA
Rhadinothamnus rudis ssp. linearis,?OSS,210,NA,P4,36 to 48
Rhizanthella gardneri,GEO,210,NA,R,NA
Rhodanthe pyrethrum,OSS,210,NA,P3,12
Ricinocarpos pilifer,OSS,210,NA,P2,NA
Ricinocarpos trichophorus,OSS,210,NA,R,NA
Ricinocarpus glaucus,OSS,140,rapid,NA,NA
Rinzia affinis,NA,210,NA,P4,NA
Rinzia longifolia,NA,210,NA,P1,NA
Rorippa cygnorum,OSS?,210,NA,P2,24
Rorripa dictyosperma,OSS,210,NA,P2,9
Rulingia apella,NA,210,NA,P1,NA
Rulingia coryfolia,NA,194,rapid,NA,NA
Rumex drummondii,NA,210,NA,P4,NA
Rumicastrum chamaecladum,OSS,210,NA,P2,6
Salt Lakes fringing,NA,174,NA,NA,NA
Sanatalum acuminatum,OSS,171,slow,NA,NA
Santalum acuminatum,OSS,146,NA,NA,NA
Santalum acuminatum,OSS,171,slow,NA,NA
Santalum murrayanum,OSS?,192,NA,NA,NA
Santalum spicatum,OSS,176,slow,NA,NA
Sarcocornia globosa,NA,210,NA,P3,NA
Scaevola archeriana,NA,210,NA,P1,NA
Scaevola brookeana,OSS/RS,210,NA,P2,24 to 36
Scaevola macrophylla,OSS,210,NA,R,NA
Scaevola paludosa,NA,210,NA,P2,NA
Scaevola sp. Waychinicup (E.M. Sandiford EMS 1336),OSS,210,NA,P2,24
Scaevola tortuosa,NA,210,NA,P1,NA
Schizaea rupestris,Comb-fern,210,NA,P2,NA
Schoenus benthamii,NA,210,NA,P3,NA
Schoenus multiglumis,NA,153,NA,NA,NA
Schoenus natans,NA,210,NA,P4,NA
Schoenus sp. Grassy (E. Gude & J. Harvey 250),NA,210,NA,P2,NA
Schoenus sp. Grey Rhizome (K.L. Wilson 2922),NA,210,NA,P1,NA
Schoenus sp. Mt Barker (G.J. Keighery 9679),NA,210,NA,P1,NA
Schoenus sp. Stirling (G.J. Keighery 3427),NA,210,NA,P2,NA
Schoenus spp,NA,154,NA,NA,NA
Selliera radicans,NA,210,NA,P2,NA
Senecio gilbertii,NA,210,NA,P1,NA
Senna artesmoides,NA,190,NA,NA,NA
Senna artesmoides ssp filifolia,OSS,169,NA,NA,NA
Senna artesmoides ssp. filifolia,OSS,175,NA,NA,NA
Siegfriedia darwinioides,OSS,170,rapid to medium,P4,<48
Sowerbaea multicaulis,GEO,210,NA,P4,NA
Sphaerolobium benetectum,NA,210,NA,P1,NA
Sphaerolobium pubescens,OSS,210,NA,P3,24 to 36
Sphaerolobium spp,NA,153,NA,NA,NA
Sphaerolobium validum,NA,210,NA,P3,NA
Sphagnum novozelandicum,Moss,211,NA,P2,NA
Sphenotoma drummondii,OSS,140,slow,R,>60
Sphenotoma gracile,OSS,153,NA,NA,NA
Sphenotoma parviflora,OSS,211,NA,P3,24
Sphenotoma sp. Stirling,OSS,155,medium,NA,NA
Sphenotoma sp. Stirling Range (P.G. Wilson 4235),OSS,211,NA,P3,≥48
Spryidium globulosum,OSS,161,NA,NA,NA
Spyridium glaucum,OSS,170,rapid to medium,P4,NA
Spyridium globulosum,OSS,162,rapid,NA,NA
Spyridium montanum,OSS,211,NA,P2,>36
Spyridium mucronatum ssp. multiflorum,NA,211,NA,P2,NA
Spyridium mucronatum ssp. recurvum,NA,211,NA,P3,NA
Spyridium oligocephalum,OSS,211,NA,P3,NA
Spyridium riparium,OSS,211,NA,P2,36 to 48
Spyridium spadiceum,NA,211,NA,P2,NA
Spyridium villosum,OSS,211,NA,P2,60
Stachystemon vinosus,OSS,211,NA,P4,NA
Stenanthemum bremerense,NA,211,NA,P3,NA
Stenanthemum cristatum,NA,211,NA,P2,NA
Stenanthemum pumilum ssp. pumilum,OSS?,211,NA,P3,NA
Stenanthemum sublineare,NA,211,NA,P2,NA
Stirlingia anaethifolia,OSS,184,rapid,NA,NA
Stirlingia anethifolia,OSC,190,rapid,NA,NA
Stirlingia divaricatissima,OSS,211,NA,P3,24
Stirlingia tenuifolia,OSS,160,medium,NA,NA
Stirlingia tenuifolia,RS/OSS,165,medium,NA,NA
Stylidium articulatum,OSS,211,NA,P2,NA
Stylidium bellum,OSS,211,NA,P2,NA
Stylidium clavatum,OSS,211,NA,P3,NA
Stylidium corymbosum var.. proliferum,OSS,211,NA,P2,NA
Stylidium daphne,OSS,211,NA,P2,NA
Stylidium diplectroglossum,OSS,211,NA,P1,NA
Stylidium falcatum,OSS,211,NA,P1,NA
Stylidium galioides,OSS,211,NA,R,>48
Stylidium glandulosum,OSS,211,NA,P3,NA
Stylidium gloeophyllum,OSS,211,NA,P3,NA
Stylidium keigheryi,OSS,211,NA,P2,36 +
Stylidium leeuwinense,OSS,211,NA,P3,24
Stylidium lepidum,OSS,211,NA,P3,NA
Stylidium plantagineum,RS,211,NA,P4,NA
Stylidium pseudohirsutum,OSS,211,NA,P3,NA
Stylidium pulviniforme,OSS,211,NA,P3,NA
Stylidium rhipidium,OSS,211,NA,P3,NA
Stylidium rosulatum,OSS,211,NA,P2,NA
Stylidium sejunctum,OSS,211,NA,P2,NA
Stylidium sp. Bluff Knoll (S. Barrett s.n. 8/11/1994),OSS,211,NA,P2,NA
Stylidium tylosum,OSS,211,NA,P1,NA
Stylidium verticillatum,0SS,211,NA,P3,<36
Styphelia hainsii,NA,190,NA,NA,NA
Styphelia pulchella,NA,190,NA,NA,NA
Synaphea bifurcata,NA,211,NA,P3,NA
Synaphea decumbens,NA,211,NA,P3,NA
Synaphea hians,NA,211,NA,P3,NA
Synaphea incurva,NA,211,NA,P1,NA
Synaphea intricata,OSS,211,NA,P3,48
Synaphea platyphylla,NA,211,NA,P3,NA
Synaphea preissii,NA,211,NA,P3,NA
Taxandria angustifolia,RS,154,NA,NA,NA
Taxandria callistachys,NA,142,NA,NA,NA
Taxandria callistachys,RS,187,NA,NA,NA
Taxandria conspicua,NA,143,NA,NA,NA
Taxandria conspicua ssp. abrupta,RS?,187,NA,NA,NA
Taxandria floribunda,OSC,155,NA,NA,NA
Taxandria fragrans,RS,154,NA,NA,NA
Taxandria juniperina,OSC,152,medium to slow,NA,NA
Taxandria juniperina,OSC,153,NA,NA,NA
Taxandria linearifolia,RS,156,NA,NA,NA
Taxandria linearifolia,RS / OSC,153,NA,NA,NA
Taxandria marginata,NA,143,NA,NA,NA
Taxandria marginata,RS /OSC,144,NA,NA,NA
Taxandria marginata,RS/ OSC,140,NA,NA,NA
Taxandria marginata,RS/OSC,142,NA,NA,NA
Taxandria parviceps,RS,151,NA,NA,NA
Taxandria spathulata,RS/OSC,160,NA,NA,NA
Tecticornia entrichoma,NA,211,NA,P4,NA
Tecticornia indefessa,NA,212,NA,P2,NA
Tecticornia uniflora,NA,212,NA,P4,NA
Templetonia retusa,OSS,162,medium,NA,NA
Templetonia retusa,OSS,192,NA,NA,NA
Tetratheca applanata,NA,212,NA,P1,NA
Tetratheca pilata,NA,212,NA,P1,NA
Tetratheca sp. Kent River (B.G. Hammersley 1791),NA,212,NA,P1,NA
Thelymitra jacksonii,GEO,212,NA,P3,12
Thelymitra psammophila,GEO,212,NA,R,NA
Thomasia dielsii,NA,212,NA,P1,NA
Thomasia discolor,OSS,140,NA,P3,24
Thomasia foliosa,NA,147,NA,NA,NA
Thomasia multiflora,NA,212,NA,P1,NA
Thomasia purpurea x solanacea,NA,212,NA,P1,NA
Thomasia pygmaea,NA,212,NA,P3,NA
Thomasia quercifolia,NA,212,NA,P2,NA
Thomasia solanacea,?RS,212,NA,P3,NA
Thomasia sp.,NA,161,NA,NA,NA
Thomasia sp. Toolbrunup (G.J. Keighery 9895),RS,212,NA,P3,NA
Thryptomene appressa,NA,182,NA,NA,NA
Thryptomene australis,OSC,142,NA,NA,NA
Thryptomene australis,OSC,178,rapid,NA,NA
Thryptomene australis ssp. brachyandra,NA,192,NA,NA,NA
Thryptomene kochii,NA,177,NA,NA,NA
Thryptomene saxicola,OSC,194,NA,NA,NA
Thryptomene saxicola,RS/OSC,140,NA,NA,NA
Thysanotus baueri,GEO?,212,NA,P1,NA
Thysanotus brachiatus,GEO?,212,NA,P2,NA
Thysanotus brachyantherus,GEO?,212,NA,P2,NA
Thysanotus brevifolius,GEO?,212,NA,P2,NA
Thysanotus gageoides,GEO?,212,NA,P3,NA
Thysanotus glaucus,GEO?,212,NA,P4,NA
Thysanotus isantherus,GEO?,212,NA,P3,NA
Thysanotus parviflorus,GEO?,212,NA,P2,NA
Thysanotus tenuis,GEO?,212,NA,P3,NA
Torrendia grandis,NA,212,NA,P2,NA
Torrendia inculta,NA,212,NA,P2,NA
Trachymene anisocarpa var.. trichocarpa,OSS,212,NA,P3,NA
Trachymene croniniana,OSS,212,NA,P3,NA
Tremulina tremula,OSS,153,NA,NA,NA
Tribonanthes purpurea,GEO,212,NA,R,NA
Tribonanthes sp. Lake Muir (G.J. Keighery & N. Gibson 2134),NA,212,NA,P3,NA
Triglochin protuberans,NA,212,NA,P3,NA
Triglochin stowardii,NA,212,NA,P3,NA
Trithuria australis,OSS,212,NA,P2,NA
Trymalium litorale,OSS,212,NA,P1,NA
Trymalium myrtillus ssp. myrtillus,NA,192,NA,NA,NA
Trymalium myrtillus ssp. pungens,NA,212,NA,P1,NA
Trymalium odaritissimum,OSS,149,rapid,NA,NA
Tyrbastes glaucescens,OSS,212,NA,P4,NA
Usnea pulvinata,Lichen,212,NA,P1,NA
Velleia exigua,NA,212,NA,P2,NA
Velleia foliosa,OSS,212,NA,P4,24±
Vericorida longistylis,OSS?,164,NA,NA,NA
Verticodia pityrhops,OSS,157,slow,NA,NA
Verticordia apecta,RS,212,NA,R,NA
Verticordia brevifolia ssp. brevifolia,RS,212,NA,P3,NA
Verticordia brevifolia ssp. stirlingensis,RS,212,NA,P2,NA
Verticordia carinata,OSS,212,NA,R,add
Verticordia coronata,RS,212,NA,P3,NA
Verticordia crebra,OSS,164,rapid,R,29
Verticordia endlicheriana var. angustifolia,NA,144,NA,NA,NA
Verticordia endlicheriana var.. angustifolia,RS/OSS,212,NA,P2,36 to 48
Verticordia fastigiata,OSS,164,NA,NA,NA
Verticordia fimbrilepis ssp. australis,RS/OSS,212,NA,R,NA
Verticordia harveyi,OSS,213,NA,P4,>30
Verticordia helichrysantha,OSS,213,NA,R,>48
Verticordia helicrysantha,OSS,164,medium,NA,NA
Verticordia huegelii var.. tridens,RS/OSS,213,NA,P3,NA
Verticordia integra,OSS,213,NA,P4,NA
Verticordia longistylis,OSS,213,NA,P3,NA
Verticordia oxylepis,OSS,172,NA,NA,NA
Verticordia pityrhops,OSS,213,NA,R,84
Verticordia plumosa,OSS,140,NA,NA,NA
Verticordia sieberi var.. pachyphylla,OSS?,213,NA,P1,NA
Verticordia spp,NA,178,NA,NA,NA
Verticordia verticordina,OSS,213,NA,P3,NA
Verticordia vicinella,OSS?,184,NA,P4,NA
Villarsia calthifolia,OSS,144,rapid,R,24
Villarsia marchantii,NA,213,NA,P4,NA
Villarsia submersa,NA,213,NA,P4,NA
Warnstorfia fluitans,MOSS,213,NA,P1,NA
Westringia spp,NA,192,NA,NA,NA
Wurmbea sp. Cranbrook (A.R. Annels 3819),NA,213,NA,P2,NA
Xanthoparmelia sargentii,Lichen,213,NA,P1,NA
Xanthoparmelia subimitatrix,Lichen,213,NA,P1,NA
Xanthorrhoea brevistyla,NA,213,NA,P4,NA
Xanthorrhoea platyphylla,RS,148,NA,NA,NA
Xanthorrhoea playtphylla,RS,184,NA,NA,NA
Xanthosia collina,OSS,213,NA,P3,NA
Xanthosia eichleri,NA,213,NA,P3,NA
Xanthosia peduncularis,NA,213,NA,P3,NA
Xyris exilis,OSS,156,medium,R,48 to 60
