species,fire_response,post_fire_recovery,page
Eucalyptus cornuta,RS ep,,140
Eucalyptus conferruminata,OSC,,140
Eucalyptus megacarpa,RS ep /OSC,,140
Acacia sulcata ssp. sulcata,OSS,,140
Andersonia sprengelioides,OSS,rapid,140
Andersonia setifolia,OSS,,140
Anthocercis viscosa,RS,,140
Banksia verticillata,OSC,slow,140
Banksia formosa,OSC,medium,140
Calothamnus quadrifidus,RS,,140
Calytrix sp. Esperance,OSS?,,140
Chamelaucium forrestii ssp. orarium,OSS?,,140
Darwinia citriodora,OSS,rapid,140
Daviesia horrida,RS,,140
Dodanaea ceratocarpa,RS,,140
Eutaxia myrtifolia,OSS,rapid,140
Gastrolobium bilobum,OSS,rapid,140
Gastrolobium brownii,,,140
Gastrolobium coriaceum,OSS,,140
Hakea drupaceae,OSC,,140
Hakea elliptica,OSC,slow,140
Isopogon formosus,OSC,rapid to medium,140
Leucopogon altissimus,OSS,,140
Melaleuca diosmifolia,OSC,slow,140
Melaleuca lanceolata,OSC,slow,140
Prostanthera verticllaris,OSS,,140
Ricinocarpus glaucus,OSS,rapid,140
Sphenotoma drummondii,OSS,slow,140
Taxandria marginata,RS/ OSC,,140
Thomasia discolor,OSS,,140
Thryptomene saxicola,RS/OSC,,140
Verticordia plumosa,OSS,,140
Asplenium aethiopicum,Fern,,140
Eucalyptus retusa,RS,,141
Eucalyptus cuspidata,RS,,141
Eucalyptus retusa x cornuta,RS,,141
Eucalyptus retusa x cuspidata,RS,,141
Eucalyptus decipiens subsp adesmo.,RS,,141
Eucalyptus notactites,RS,,141
Grevillea sp. 'nivea',OSS,,141
Thryptomene saxicola,RS/OSC,,141
Agonis flexuosa,RS/OSC,,141
Hakea victoria,OSC,,141
Banksia dryandroides,OSC,,141
Eucalyptus retusa,RS,,141
Eucalyptus retusa x cornuta,RS,,141
Eucalyptus cornuta,RSE,,141
Eucalyptus decipiens subsp. adesmo.,RS,,141
Eucalyptus notactites,RS,,141
Anthocercis viscosa,RS,,141
Calothamnus quadrifidus,RS,,141
Kunzea baxteri,OSC,,141
Agonis flexuosa,OSC/RS,,141
Banksia violaceae,OSC,,141
Allocasuarina trichodon,OSC,,141
Callitris preissii,OSC,slow,141
Eucalyptus cornuta,RS ep,,141
Eucalyptus conferruminata,OSC,slow,141
Eucalyptus doratoxylon,RS ep,,141
Eycalyptus sweedmaniana,RS,,141
Eucalyptus utilis,OSC,slow,141
Acacia myrtifolia,OSS,,142
Agonis baxteri,RS,,142
Allocasuarina campestris,?OSC,,142
Anthocercis viscosa ssp. caudata,?OSS,,142
Banksia armata var. ignicida,OSC,,142
Bossiaea dentata,OSS,,142
Calothamnus quadrifidus,RS,,142
Calothamnus villosus,OSC,,142
Dillwynia pungens,OSS,,142
Dodanaea ceratocarpa,RS,,142
Dodanaea viscosa,OSS,,142
Eutaxia myrtifolia,OSS,rapid,142
Gastrolobium bilobum,OSS,rapid,142
Goodenia scapigera,OSS,,142
Grevillea concinna ssp. concinna,OSS,,142
Grevillea oligantha,OSS,,142
Hakea clavata,OSC,,142
Hakea drupaceae,OSC,,142
Kunzea baxteri,OSS,,142
Lambertia echinata ssp. echinata,OSC,,142
Leptospermum sericeum,?OSC,,142
Leucopogon interruptus,OSS,,142
Melaleuca elliptica,RS/OSC,medium,142
Melaleuca fulgens,RS,,142
Melaleuca globiferra,R/OSC,,142
Mirbelia dilatata,OSS,rapid,142
Taxandria callistachys,,,142
Taxandria marginata,RS/OSC,,142
Thryptomene australis,OSC,,142
Anigozanthos gabrielae,Annual,rapid,142
Eucalyptus cornuta,RS ep,,143
Eucalyptus virgineae,RS,,143
Eucalyptus megacarpa,RS ep / OSC,,143
Acacia sulcata ssp. sulcata,OSS,,143
Andersonia hammerslyeana,OSS,medium,143
Andersonia sprengelioides,OSS,rapid,143
Andersonia setifolia,OSS,,143
Andersonia virolens,OSS,rapid,143
Banksia formosa,OSC,medium,143
Borya longioscapa,RS/OSS,,143
Cryptandra congesta,,,143
Grevillea fuscolutea,OSS,,143
Calothamnus quadrifidus,RS,,143
Calothamnus sp. Mt Lindesay,RS/OSC,medium - slow,143
Calytrix sp. Esperance,OSS,,143
Chamelaucium forrestii ssp. forrestii,OSS,,143
Darwinia citriodora,OSS,rapid,143
Dodanaea ceratocarpa,RS,,143
Eutaxia myrtifolia,OSS,rapid,143
Gastrolobium bilobum,OSS,rapid,143
Gastrolobium brownii,OSS,rapid,143
Gastrolobium coriaceum,OSS,,143
Hemigena humilis,,,143
Hemigena podlyarina,,,143
Isopogon formosus,OSC,rapid to medium,143
Lasiopetalum sp. Denmark,OSS,rapid to medium,143
Leucopogon sp. Southern granite,,,143
Olearia paucidentata,OSS,,143
Ricinocarpus glaucus,OSS,rapid,143
Sphenotoma drummondii,OSS,slow,143
Taxandria conspicua,,,143
Taxandria marginata,,,143
Thryptomene saxicola,RS/OSC,,143
Verticordia endlicheriana var. angustifolia,,,144
Verticordia plumosa,OSS,,144
Laxamnnia grandiflora spp brendae,,,144
Asplenium aethiopicum,Fern,,144
Eucalyptus megacarpa,RS ep / OSC,,144
Eucalyptus cornuta,RS ep,,144
Acacia heteroclita ssp. valida,OSS,,144
Asterolasia sp. Kalgan,OSS,,144
Gastrolobium subcordatum,OSS,,144
Hibbertia porongurupensis,OSS,,144
Sphenotoma drummondii,OSS,slow,144
Taxandria marginata,RS /OSC,,144
Thryptomene saxicola,RS/OSC,,144
Villarsia calthifolia,OSS,rapid,144
Allocasuarina huegeliana,OSC,slow,145
Eucalyptus lehmannii,RS,,145
Eucalyptus tetraptera,RS,,145
Acacia acuminata,OSS,medium to slow,145
Acacia bidentata,,,145
Acacia erinacea,,,145
Acacia fragilis,,,145
Acacia glaucissima,,,145
Acacia pinguiculosa ssp. teretifolia,OSS,,145
Acacia tryptycha,,,145
Allocasuarina campestris,OSC,,145
Allocasuarina scleroclada,RS,,145
Beaufortia schaueri,OSC,,145
Baeckea crassifolia subsp.. icosandra,,,145
Banksia armata subsp.. ignicida,OSS,,145
Boronia baeckeacea subsp.. patula,,,145
Boronia sp..,,,145
Calothamnus quadrifidus,RS,,145
Calothamnus tuberosus,,,145
Chamelaucium ciliatum,,,145
Dodonaea ceratocarpa,RS,,145
Dodonaea caespitosa,,,145
Exocarpos sparteus,,,145
Gastrolobium bilobum,OSS,,145
Gastrolobium involutum,,,145
Gastrolobium parviflorum,,,145
Granitites intangendus,,,145
Grevillea anethifolia,,,145
Grevillea concinna subsp.. lehamanniana,,,145
Grevillea plurijuga subsp.. superba,,,145
Hakea bicornata,,,145
Hakea clavata,OSC,,145
Hakea commutata,,,145
Hakea laurina,OSC,,145
Hakea preissii,,,146
Keraudrenia sp..,,,146
Labichea lanceolata subsp.. brevifolia,,,146
Lasiopetalum rosmarinifolium,,,146
Leptospermum incanum,,,146
Lasiopetalum indutum,,,146
Leucopogon conostephioides,,,146
Melaleuca bromelioides,,,146
Melaleuca elliptica,RS/OSC,medium,146
Melaleuca eximia,,,146
Melaleuca fulgens,,,146
Melaleuca glaberimma,OSC,,146
Melaleuca podiocarpa,,,146
Melaleuca glena,,,146
Melaleuca eleuterostachya,,,146
Micromyrtus elobata,,,146
Micromyrtus imbricata,,,146
Mirbelia microphylla,,,146
Persoonia teretifolia,,,146
Phebalium lepidotum,,,146
Petrophile fastigiata,,,146
Phyllanthus calycina,,,146
Prostanthera carrickiana,,,146
Santalum acuminatum,OSS,,146
Thryptomene australis,OSC,,146
Borya constricta,,,146
Borya sp..,,,146
Cyanicula deformis,,,146
Caladenia discoidea,,,146
Pterostylis sanguinea,,,146
Diuris affin pulchella,,,146
Pterostylis recurva,,,146
Eriochilus scaber,,,146
Cladia ferdinandii,,,146
Corymbia calophylla,RS,,147
Eucalyptus marginata,RSep,,147
Eucalyptus wandoo,RS/ep/OSC,,147
Acacia spp,,,147
Gastrolobium spinosum,OSS,rapid,147
Gastrolobium parviflorum,OSS,medium,147
Hakea lissocarpha,RS,,147
Thomasia foliosa,,,147
Eucalytpus occidentalis,RS ep / OSC,,147
Eucalytpus rudis,RS ep,,147
Eucalyptus decipiens,RS ep,,147
Melaleuca preissiana,RS ep / OSC,,147
Melaleuca rhaphiophylla,RS ep/ OSC,,147
Banksia littoralis,RS ep,,147
Melaleuca viminea,OSC,medium,147
Callistachys lanceolatum,OSS,,147
Eucalyptus decipiens,RS,,147
Eucalyptus falcata,RS,,147
Eucalyptus decipiens x falcata,RS,,147
Eucalyptus orthostemon,RS,,147
Adenanthos cygnorum,OSS,,147
Allocasuarina acuaria,,,147
Allocasuarina lehmanniana,OSC,,147
Banksia arctotidis,RS,,147
Banksia acuminata,RS,,147
Banksia alliacea,OSC,,148
Banksia armata,RS,,148
Banksia brunnea,OSC,medium,148
Banksia fraseri,RS,,148
Banksia attenuata,RS,,148
Bnaksia grandis,RS,,148
Banksia lepidorrhiza,RS,,148
Banksia meisnerii,OSC,medium,148
Banksia mucronulata sp. retrorsa,OSC,,148
Banksia nivea ssp. nivea,OSC,,148
Banksia pellaeifolia,RS,,148
Banksia porrecta,?RS,,148
Banksia sessilis,OSC,medium,148
Banksia sphaerocarpa ssp. sphaerocarpa,RS,,148
Banksia tenuis,OSC,,148
Calothamnus gracilis,RS,,148
Calothamnus huegelii,,,148
Calothamnus quadrifidus,RS,,148
Calothamnus sanguineus,RS,,148
Petrophile media,,,148
Petrophile serruriae,OSC,medium,148
Gastrolobium spinosum,OSS,rapid,148
Hakea cucullata,OSC,medium to slow,148
Hakea trifurcata,OSC,slow,148
Hakea undulata,OSC,rapid,148
Isopogon attentuatus,RS,,148
Isopogon buxifolius,OSC,,148
Isopogon heterophyllus,?OSC,,148
Isopogon formosus,OSC,rapid to medium,148
Xanthorrhoea platyphylla,RS,,148
Eucalyptus astringens,OSC,,148
Eucalyptus garderni,OSC,,148
Allocasuarina decussata,RS ep,,149
Eucalyptus brevistylis,RS ep /OSC,,149
Eucalyptus diversicolor,RS ep/ OSC,slow,149
Eucalyptus guilfoylei,RS ep/ OSC,slow,149
Eucalyptus jacksonii,RS ep / OSC,slow,149
Hakea lasianthoides,OSC,medium,149
Hakea oleifolia,OSC,medium,149
Hibbertia furfuracea,RS,,149
Trymalium odaritissimum,OSS,rapid,149
Acacia pentadenia,OSS,medium to slow,149
Leucopogon verticillatus,RS,,149
Lepidosperma effusem,RS,,149
Petrophile diversifolia,OSC,medium,149
Eucalyptus diversicolor,RS ep/ OSC,slow,149
Allocasuarina decussata,RS/ ep,,149
Corymbia calophylla,RS/ ep,,149
Banksia seminuda,OSC,medium to slow,149
Eucalyptus megacarpa,RS ep / OSC,,149
Acacia browniana,OSS,rapid,149
Acacia pentadenia,OSS,medium to slow,149
Banksia grandis,RS,,149
Choralaena quercifolia,OSS,rapid,149
Hibbertia furfuracea,RS,,149
Leucopogon verticillatus,RS,,149
Paraserianthes lophantha,OSS,rapid,149
Persoonia longifolia,RS,,149
Trymalium odaritissimum,OSS,rapid,149
Lepidosperma effusem,RS,,149
Eucalyptus diversicolor,RS ep/ OSC,slow,150
Trymalium odaritissimum,OSS,rapid,150
Paraserianthes lophantha,OSS,rapid,150
Mirbelia dilata,OSS,rapid,150
Apium prostratum ssp. phillipi,OSS,rapid,150
Eucalyptus diversicolor,RS ep/ OSC,slow,150
E. goniantha subsp. goniantha,RS,,150
Eucalyptus patens,RS ep,,150
Eucalyptus occidentalis,RS ep / OSC,,150
Eucalyptus rudis,RS ep,,150
Melaleuca cuticularis,RS ep/OSC,,150
Melaleuca preissiana,RS ep/OSC,,150
Melaleuca rhaphiophylla,RS /OSC,,150
Gastrolobium sericeum,,,150
Melaleuca pauciflora,RS,,150
Melaleuca lateritia,RS,,150
Baumea spp,,,150
Gahnia trida,RS,,150
Lepidosperma effusem,RS,,150
Allocasuarina fraseriana,RS ep,,150
Eucalyptus marginata,RS ep,,150
Eucalyptus staeri,RS ep,,150
Banksia biterax,OSC,medium,151
Banksia brownii,OSC,medium to slow,151
Banksia formosa,OSC,medium,151
Banksia mucronulata,OSC,medium,151
Banksia obovata,OSC,medium,151
Banksia serra,OSC,medium,151
Banksia squarrosa,OSC,medium,151
Daviesia spinossisima,,,151
Gastrolobium coriaceum,OSS,,151
Grevillea fasiculata,OSS,,151
Grevillea trifida,OSS,,151
Hakea amplexicaulis,RS,,151
Hakea cucullata,OSC,medium to slow,151
Hakea ceratophylla,RS,,151
Hakea ferruginea,OSC,medium to slow,151
Hakea lasiantha,OSC,slow,151
Hakea trifurcata,OSS,medium to slow,151
Hakea tuberculata,OSC,medium to slow,151
Lambertia uniflora,OSC,medium to slow,151
Leptomeria squarrulosa,OSS,,151
Pultenaeae verruculosa,OSS,,151
Taxandria parviceps,RS,,151
Xanthorrhoea platyphylla,RS,,151
Allocasuarina fraseriana,RS ep,,151
Eucalyptus staeri,RS ep,,151
Andersonia pinaster,OSS,medium,151
Banksia attenuata,RS / OSC,,151
Banksia coccinea,OSC,medium to slow,151
Banksia nutans,OSC,slow,151
Conospermum teretifolium,RS,,151
Franklandia fucifolia,RS,,151
Gompholobium scabrum,OSS,,151
Jacksonia spinosa,OSS,,151
Latrobea brunonis,OSS,,151
Leucopogon flavescens,OSS,,151
Leucopogon glabellus,OSS,,151
Leucopogon gracilis,OSS,,151
Leucopogon obovatus,OSS,,152
Leucopogon rubricaulis,?OSS,,152
Melaleuca thymoides,RS,,152
Phyllota barbata,OSS,,152
Petrophile acicularis,OSC,,152
Petrophile rigida,RS,,152
Corymbia calophylla,RS ep,,152
Eucalyptus marginata,RS ep,,152
Banksia formosa,OSC,medium,152
Bossiaea linophylla,OSS,rapid,152
Hakea elliptica,OSC,slow,152
Eucalyptus ficifolia,RS ep,,152
Acacia myrtifolia,OSS,rapid,152
Adenanthos obovatus,RS,,152
Beaufortia sparsa,RS,,152
Homalospermum firmum,RS,,152
Taxandria juniperina,OSC,medium to slow,152
Acidonia microcarpa,OSS,medium,152
Aotus intermedia,OSS,,152
Astartea scoparia,RS,,152
Callistemon glaucum,RS,,152
Cosmelia rubra,RS,,152
Homalospermum firmum,RS,,152
Kunzea ericifolia,OSC,,152
Melaleuca densa,OSC?,,152
Melaleuca microphylla,RS ep,,152
Melaleuca viminea,OSC,,152
Sphaerolobium spp,,,153
Sphenotoma gracile,OSS,,153
Taxandria juniperina,OSC,,153
Taxandria linearifolia,RS / OSC,,153
Baumea spp,,,153
Empodisma gracillimum,RS,,153
Gahnia decomposita,RS,,153
Juncus spp,,,153
Lepidosperma tetraquetrum,RS,,153
Leptocarpus tenax,RS,,153
Reedia spathacea,RS,,153
Schoenus multiglumis,,,153
Tremulina tremula,OSS,,153
Cephalotus follicularis,RS,,153
Acidonia microcarpa,OSS,medium,153
Aotus intermedia,OSS,,153
Banksia littoralis,RS,,153
Banksia occidentalis,OSC,medium,153
Banksia quercifolia,OSC,medium,153
Banksia seminuda,OSC,medium to slow,153
Beaufortia sparsa,RS,,153
Callistachys lanceolatum / sp South Coast,OSS,,153
Hakea linearis,RS,,153
Hakea tuberculata,OSC,medium,153
Hakea sulcata,OSC,medium,153
Hypocalymma ericifolium,OSS,,153
Isopogon axillaris,RS,,153
Kunzea ericifolia,OSC,,153
Leptocarpus tenax,RS,,153
Melaleuca densa,OSC?,,153
Melaleuca incana,RS,,153
Melaleuca pauciflora,RS,,153
Meleluca spathulata,RS,,153
Melaleuca viminea,OSC,medium to slow,154
Pericalymma spongicaule,OSC,,154
Petrophile phyllicoides,OSC,slow,154
Rhadinothamnus anceps,OSS,rapid,154
Sphaerolobium spp,,,154
Sphenotoma gracile,OSS,,154
Taxandria angustifolia,RS,,154
Taxandria fragrans,RS,,154
Evandra aristata,RS / OSS,,154
Leptocarpus tenax,RS,,154
Meeboldina spp,,,154
Schoenus spp,,,154
Tremulina tremula,OSS,,154
Cephalotus follicularis,RS,,154
Agonis flexuosa,RS ep/ OSC,,154
Exocarpus odoratus,OSS,rapid,154
Hakea oleifolia,OSC,medium,154
Hakea prostrata,RS,,154
Myoporum oppositifolium,OSS,rapid,154
Pimelea clavata,OSS,rapid,154
Austrodanthonia occidentalis,RS,,154
Austrostipa flavescens,OSS,rapid,154
Dichelachne crinita,,,154
Microlaena stipioides,RS,,154
Poa drummoniana,RS,,154
Poa porphryoclados,,,154
Baumea articulata,,,154
Allocasuarina decussata,RS ep,,155
Andersonia axilliflora,OSS,slow,155
Beaufortia anisandra,OSC,slow,155
Banksia biterax,OSC,,155
Banksia brownii,OSC,slow,155
Banksia concinna,OSC,slow,155
Banksia montana,OSC,slow,155
Banksia solandri,OSC,slow,155
Banksia oreophila,OSC,slow,155
Calothamnus crassus,RS / OSC,,155
Darwinia collina,OSS,slow,155
Hakea florida,RS,,155
Isopogon latifolius,OSC,slow,155
Kunzea montana,OSS,slow,155
Leucopogon gnaphalioides,OSS,slow,155
Persoonia micranthera,OSS,slow,155
Sphenotoma sp. Stirling,OSS,medium,155
Taxandria floribunda,OSC,,155
Eucalyptus doratoxylon,RS,,155
Eucalytus ligulata ssp. stirlingica,RS,,155
Eucalyptus marginata,RS,,155
Eucalyptus talyuberlup,OSC?,,155
Aotus genistoides,OSS,,155
Adenanthos filifolius,OSS,,155
Beaufortia anisandra,OSC,slow,155
Banksia brownii,OSC,slow,155
Banksia concinna,OSC,slow,155
Banksia rufa ssp. pumilo,OSC,medium,155
Banksia foliolata,OSC,,155
Banksia`grandis,RS,,155
Banksia hirta,OSC,medium,156
Banksia oreophila,OSC,,156
Bankisa plumosa ssp. denticulata,OSC,medium,156
Banksia solandri,OSC,slow,156
Calothamnus crassus,RS / OSC,,156
Hakea ambigua,OSC,medium,156
Hakea lasiantha,OSC,slow,156
Kunzea montana,OSS,slow,156
Lambertia fairallii,OSC,slow,156
Leucopogon atherolepis,OSS,,156
Leucopogon lasiophyllus,OSS,,156
Isopogon baxteri,OSC,medium,156
Isopogon latifolius,OSC,slow,156
Sphenotoma sp. Stirling,OSS,medium,156
Taxandria floribunda,OSC,,156
Allocasuarina decussata,RS ep,,156
Eucalyptus megacarpa,RS ep / OSC,,156
Astartea sp. staminodes,OSS?,,156
Taxandria linearifolia,RS,,156
Homalaspermum firmum,RS,,156
Xyris exilis,OSS,medium,156
Eucalyptus acies,RS,,156
Eucalyptus acies x preissiana,RS,,156
Eucalyptus burdettiana,RS,,156
Eucalyptus coronata,RS,,156
Eucalyptus decurva,RS,,156
Eucalyptus lehmannii subsp. parallela,RS,,156
Eucalyptus sepulcralis,RS,,156
Eucalyptus redunca,RS,,156
Eucalyptus preissiana,RS,,156
Acacia argutifolia,,,156
Adenanthos ellipticus,OSS,medium,156
Adenanthos ellipticus x cuneatus,OSS,,156
Adenanthos labilliardierei,OSS,,157
Adenanthos oreophilus,OSS,,157
Adenanthos venosus,RS,,157
Agonis baxteri (obtusissima),RS,,157
Banksia baueri,OSC,slow,157
Banksia heliantha,OSC,,157
Banksia lemanniana,OSC,slow,157
Banksia oreophila,OSC,,157
Banksia plumosa ssp. plumosa,OSC,,157
Calothamnus macrocarpus,RS,,157
Calothamnus pinifolius,OSC,,157
Calothamnus sp. Kundip,OSC,,157
Calothamnus validus,,,157
Calothamnus villosus,OSC?,,157
Gonocarpus hispidus,OSS,,157
Hakea hookeriana,OSC,,157
Hakea victoria,OSC,,157
Kunzea similis spp similis,OSS,,157
Grevillea coccinea,OSS,,157
Grevillea infundibularis,OSS,medium,157
Grevillea aff nudiflora,OSS,,157
Grevillea infundibularis x aff nudiflora,OSS,,157
Grevillea coccinea ssp. lanata,OSS,,157
Grevillea fistulosa,OSS,,157
Leptospermum conferetum,OSC,,157
Melaleuca citrina,RS,,157
Melaleuca nesophila,OSC,,157
Monotoca aristata,,,157
Pityrodia exserta,,,157
Verticodia pityrhops,OSS,slow,157
Eucalyptus doratoxylon,RS ep,,157
Adenanthos oreophilus,OSS,,157
Banksia armata var. ignicida,OSC,,157
Banksia media,OSC,,157
Banksia obovata,OSC,medium,157
Banksia prolata ssp. archeos,OSC,,157
Beaufortia aff schaueri,,,157
Darwinia sp. Mt Ragged,OSS,,157
Daviesia grossa,,,157
Daviesia teretifolia,RS/OSS,,158
Dillwynia pungens,OSS,,158
Grevillea concinna ssp. lemanniana,OSS,,158
Grevillea oligantha,OSS/RS,,158
Grevillea pauciflora ssp. axatilis,OSS,,158
Grevillea plurijuga ssp. plurijuga,OSS/RS,,158
Hakea drupaceae,OSC,,158
Hakea erecta,,,158
Hakea laurina,OSC,medium,158
Hakea pandanicarpa ssp. pandanicarpa,OSC,,158
Hakea pycnoneura,,,158
Hakea scoparia ssp. trycheria,OSC,,158
Hakea verrucosa,OSC,,158
Isopogon sp. Fitzgerald,,,158
Isopogon formosus,OSC,rapid,158
Kunzea baxteri,OSS,,158
Labichea lanceolata,RS,,158
Leucopogon apiculatus,OSS,,158
Melaleuca fulgens,RS?,,158
Melaleuca pentagona ssp raggedensis,OSC?,,158
Melaleuca undulata,OSC,,158
Melaleuca uncinata,RS,,158
Melaleuca viminea,OSC,medium,158
Petrophile squamata ssp. northern,OSC,,158
Petrophile teretifolia,,,158
